"[14, 10]","['elu', 'swish']",6028,373,Adam,0.21530814468860626,0.21530814468860626,0.161826953291893,1.8884809000010137
"[14, 23]","['swish', 'elu']",68f0,700,Adam,MaxAbsoluteDeviation,0.1008998453617096,0.10640767216682434,3.325124599999981
"[14, 23]","['swish', 'elu']",68f0,700,Adam,MaxAbsoluteDeviation,0.06522262841463089,0.06064121797680855,3.2836718000035034
