[23],['sigmoid'],f6f6,700,Adam,MaxAbsoluteDeviation,0.21592360734939575,2.2793755531311035,2.191664600002696
"[23, 8]","['sigmoid', 'sigmoid']",f6f6,700,Adam,MaxAbsoluteDeviation,0.21592360734939575,8.228550910949707,0.8043424999923445
"[23, 23, 18]","['sigmoid', 'sigmoid', 'elu']",f6f6a0,700,Adam,MaxAbsoluteDeviation,0.14294739067554474,0.3964042663574219,2.5801761000038823
"[23, 23, 18]","['elu', 'sigmoid', 'elu']",f0f6a0,700,Adam,MaxAbsoluteDeviation,0.24166855216026306,0.5093231201171875,2.5560606999933952
"[23, 23, 18]","['elu', 'sigmoid', 'elu']",f0f6a0,256,Adam,MaxAbsoluteDeviation,0.6619046926498413,0.5093708038330078,1.1492772000055993
"[23, 23, 18]","['elu', 'sigmoid', 'elu']",f0f6a0,235,Adam,MaxAbsoluteDeviation,0.3002094328403473,0.2585906982421875,1.082582100003492
"[8, 23, 18]","['elu', 'sigmoid', 'elu']",00f6a0,235,Adam,MaxAbsoluteDeviation,0.3015686273574829,0.14298439025878906,1.089370499990764
"[8, 23, 18, 18, 23]","['elu', 'sigmoid', 'swish', 'tanh', 'sigmoid']",00f6a8a9f6,235,Adam,MaxAbsoluteDeviation,0.8586431741714478,1.1037673950195312,1.303081399993971
"[8, 23, 18, 18, 23, 8, 9]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu']",00f6a8a9f90610,235,Adam,MaxAbsoluteDeviation,0.3944406807422638,0.8206977844238281,1.5043403999879956
"[8, 23, 18, 18, 23, 8, 9]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu']",00f6a8a9f90610,235,Adam,MaxAbsoluteDeviation,0.3944406807422638,0.6837296485900879,1.482357500004582
"[8, 23, 18, 18, 23, 8, 9]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'swish', 'elu']",00f6a8a9f90610,235,Adam,MaxAbsoluteDeviation,0.3944406807422638,2.317197799682617,1.0773905999958515
"[8, 23, 18, 18, 23, 8, 9]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'tanh', 'elu']",00f6a8a9f90610,235,Adam,MaxAbsoluteDeviation,0.3944406807422638,0.8600673675537109,1.4959036000072956
"[8, 23, 18, 18, 23, 8, 9, 18]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu', 'swish']",00f6a8a9f90610a8,235,Adam,MaxAbsoluteDeviation,0.8618835210800171,1.2553138732910156,1.6107025999954203
"[8, 23, 18, 18, 23, 8, 9, 18, 9]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu', 'swish', 'tanh']",00f6a8a9f90610a8,235,Adam,MaxAbsoluteDeviation,0.8618835210800171,3.248805046081543,1.6976823000004515
"[8, 23, 18, 18, 23, 8, 9, 18]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu', 'swish']",00f6a8a9f90610a8,235,Adam,MaxAbsoluteDeviation,0.8618835210800171,1.5042401552200317,1.4145624000084354
"[8, 23, 18, 18, 23, 8, 9, 18, 23]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu', 'swish', 'sigmoid']",00f6a8a9f90610a8f6,235,Adam,MaxAbsoluteDeviation,1.3425216674804688,1.4818086624145508,1.7179274999944028
"[8, 23, 18, 18, 23, 8, 9, 18, 23]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'swish', 'elu', 'swish', 'sigmoid']",00f6a8a9f90610a8f6,235,Adam,MaxAbsoluteDeviation,1.3425216674804688,8.647785186767578,3.5714759999973467
"[8, 23, 18, 18, 23, 8, 9, 18]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu', 'swish']",00f6a8a9f90610a8,235,Adam,MaxAbsoluteDeviation,1.0971601009368896,1.2864494323730469,1.6030003000050783
"[8, 23, 18, 18, 23, 8, 9, 18]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu', 'swish']",00f6a8a9f90610a8,100,Adam,MaxAbsoluteDeviation,0.9631097316741943,2.0287723541259766,1.1175534999929368
"[8, 23, 18, 18, 23, 8, 9]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu']",00f6a8a9f90610,100,Adam,MaxAbsoluteDeviation,1.493077039718628,2.7486841678619385,1.0311835000029532
"[8, 23, 18, 18, 23, 8]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid']",00f6a8a9f90610,100,Adam,MaxAbsoluteDeviation,1.493077039718628,8.34383487701416,0.9423995999968611
"[8, 23, 18, 18, 23, 8, 9, 12]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu', 'elu']",00f6a8a9f9061040,100,Adam,MaxAbsoluteDeviation,0.8350322246551514,0.5086300373077393,1.114807000005385
"[8, 23, 18, 18, 23, 8, 9, 12, 15]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu', 'elu', 'swish']",00f6a8a9f906104078,100,Adam,MaxAbsoluteDeviation,0.644716203212738,2.079257011413574,1.192819399992004
"[8, 23, 18, 18, 23, 8, 9, 8, 15]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu', 'elu', 'swish']",00f6a8a9f906104078,100,Adam,MaxAbsoluteDeviation,0.644716203212738,2.4068756103515625,1.1891666000010446
"[8, 23, 18, 18, 23, 8, 8, 12, 15]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu', 'elu', 'swish']",00f6a8a9f906004078,100,Adam,MaxAbsoluteDeviation,2.129319429397583,1.625441074371338,1.1904750999965472
"[8, 23, 18, 18, 23, 8, 8, 12]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu', 'elu']",00f6a8a9f9060040,100,Adam,MaxAbsoluteDeviation,1.7756729125976562,0.9656562805175781,1.1025742000056198
"[8, 23, 18, 18, 23, 8, 8, 12]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu', 'elu']",00f6a8a9f9060040,100,Adam,MaxAbsoluteDeviation,1.5341215133666992,2.1116762161254883,1.0958039999968605
"[8, 23, 18, 18, 23, 23, 8, 12]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu', 'elu']",00f6a8a9f9f60040,100,Adam,MaxAbsoluteDeviation,1.4880033731460571,3.214840888977051,1.0942243000026792
"[8, 23, 18, 18, 23, 23, 8]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu']",00f6a8a9f9f600,100,Adam,MaxAbsoluteDeviation,1.6195553541183472,1.8449630737304688,1.0182959999947343
"[8, 23, 18, 18, 23, 23, 8]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu']",00f6a8a9f9f600,100,Adam,MaxAbsoluteDeviation,1.798574686050415,2.293166160583496,1.010102200001711
"[8, 23, 18, 18, 23, 23]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid']",00f6a8a9f9f600,100,Adam,MaxAbsoluteDeviation,1.798574686050415,2.186091423034668,0.9313819999952102
"[8, 23, 18, 8, 23, 23, 8]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu']",00f6a809f9f600,100,Adam,MaxAbsoluteDeviation,0.6309804916381836,1.2266273498535156,1.0012606999953277
"[8, 23, 18, 8, 23, 23, 8, 17]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu', 'tanh']",00f6a809f9f600,100,Adam,MaxAbsoluteDeviation,0.6309804916381836,2.402808666229248,1.075151700002607
"[8, 23, 18, 23, 23, 23, 8]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu']",00f6a809f9f600,100,Adam,MaxAbsoluteDeviation,0.6309804916381836,3.579033851623535,1.0036225000076229
"[8, 23, 18, 8, 23, 23, 8]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu']",00f6a809f9f600,700,Adam,MaxAbsoluteDeviation,0.33226263523101807,1.2847501039505005,2.998745000004419
"[8, 23, 18, 8, 23, 23, 8]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu']",00f6a809f9f600,700,Adam,MaxAbsoluteDeviation,0.6741491556167603,0.6109676361083984,3.008426000000327
"[8, 23, 18, 8, 23, 23, 8]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu']",00f6a809f9f600,700,Adam,MaxAbsoluteDeviation,0.5228338837623596,0.6702196598052979,2.9758334000071045
"[8, 23, 18, 23, 23, 23, 8]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid', 'elu']",00f6a8f9f9f600,700,Adam,MaxAbsoluteDeviation,0.8697952032089233,0.4894218444824219,3.9641890000057174
"[23, 23, 18, 23, 23, 23]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh', 'sigmoid']",f0f6a8f9f9f6,700,Adam,MaxAbsoluteDeviation,0.6179715991020203,0.4455232620239258,3.6762500000040745
"[23, 23, 18, 23, 23]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh']",f0f6a8f9f9,700,Adam,MaxAbsoluteDeviation,0.23438598215579987,0.46197509765625,3.3716846000024816
"[23, 23, 18, 23]","['elu', 'sigmoid', 'swish', 'tanh']",f0f6a8f9f9,700,Adam,MaxAbsoluteDeviation,0.23438598215579987,0.23366200923919678,3.1199624000000767
"[23, 23, 18, 23, 23]","['elu', 'sigmoid', 'swish', 'tanh', 'tanh']",f0f6a8f9f9,360,Adam,MaxAbsoluteDeviation,0.32007071375846863,1.1079463958740234,1.9633488999970723
"[23, 23, 18, 23, 23]","['elu', 'sigmoid', 'swish', 'sigmoid', 'tanh']",f0f6a8f6f9,360,Adam,MaxAbsoluteDeviation,0.4123857915401459,0.4264488220214844,1.9548230999935186
"[23, 23, 18, 23, 23, 22]","['elu', 'sigmoid', 'swish', 'sigmoid', 'tanh', 'sigmoid']",f0f6a8f6f9e6,360,Adam,MaxAbsoluteDeviation,0.3508126139640808,0.3762378692626953,2.0918158999993466
"[10, 23, 18, 23, 23, 22]","['elu', 'sigmoid', 'swish', 'sigmoid', 'tanh', 'sigmoid']",20f6a8f6f9e6,360,Adam,MaxAbsoluteDeviation,0.4637760818004608,0.4911320209503174,2.0926697999966564
"[10, 23, 18, 23, 23, 22]","['elu', 'sigmoid', 'swish', 'sigmoid', 'swish', 'tanh']",20f6a8f6f8e9,360,Adam,MaxAbsoluteDeviation,0.5796109437942505,1.2147541046142578,2.1016792000009445
"[10, 23, 18, 23, 23, 22]","['elu', 'sigmoid', 'swish', 'sigmoid', 'swish', 'sigmoid']",20f6a8f6f8e9,360,Adam,MaxAbsoluteDeviation,0.5796109437942505,8.819281578063965,1.1750809000077425
"[23, 23, 18, 23, 23, 22]","['elu', 'sigmoid', 'swish', 'sigmoid', 'swish', 'tanh']",f0f6a8f6f8e9,360,Adam,MaxAbsoluteDeviation,0.570462703704834,0.4916067123413086,2.1020406000025105
"[23, 23, 18, 23, 23]","['elu', 'sigmoid', 'swish', 'sigmoid', 'swish']",f0f6a8f6f8,171,Adam,MaxAbsoluteDeviation,0.5048457980155945,0.43448448181152344,1.2279426000022795
"[8, 23, 18, 23, 23]","['elu', 'sigmoid', 'swish', 'sigmoid', 'swish']",f0f6a8f6f8,171,Adam,MaxAbsoluteDeviation,0.5048457980155945,1.1490936279296875,1.2173002000054112
"[23, 23, 18, 23]","['elu', 'sigmoid', 'elu', 'sigmoid']",f0f6a0f6,171,Adam,MaxAbsoluteDeviation,0.8090364336967468,0.6562004089355469,1.0806958000030136
"[23, 23, 18, 8]","['elu', 'sigmoid', 'elu', 'sigmoid']",f0f6a0f6,171,Adam,MaxAbsoluteDeviation,0.8090364336967468,6.2408952713012695,1.0717450000083772
"[23, 23, 18, 23]","['elu', 'sigmoid', 'elu', 'sigmoid']",f0f6a0f6,171,Adam,MaxAbsoluteDeviation,0.8090364336967468,1.2156267166137695,0.8358301999978721
"[23, 23, 18, 23]","['elu', 'sigmoid', 'sigmoid', 'sigmoid']",f0f6a6f6,171,Adam,MaxAbsoluteDeviation,0.6544851064682007,0.7195167541503906,1.0769465000048513
"[23, 23, 18]","['elu', 'tanh', 'sigmoid']",f0f9a6,171,Adam,MaxAbsoluteDeviation,0.28402411937713623,0.2098550796508789,0.9461001000017859
"[23, 23]","['elu', 'tanh']",f0f9,171,Adam,MaxAbsoluteDeviation,0.3597664535045624,0.4066791534423828,0.8351721000071848
"[23, 23]","['elu', 'tanh']",f0f9,700,Adam,MaxAbsoluteDeviation,0.16792602837085724,0.08605337142944336,2.4567760999925667
"[23, 23]","['elu', 'tanh']",f0f9,700,Adam,MaxAbsoluteDeviation,0.3262902796268463,0.18804264068603516,2.4646961000107694
[23],['elu'],f0f9,700,Adam,MaxAbsoluteDeviation,0.3262902796268463,2.4521195888519287,2.184294399994542
"[23, 23, 21]","['elu', 'elu', 'swish']",f0f0d8,700,Adam,MaxAbsoluteDeviation,0.28073108196258545,0.25391286611557007,2.7688791999971727
"[23, 23]","['elu', 'elu']",f0f0,700,Adam,MaxAbsoluteDeviation,0.20649577677249908,0.18303775787353516,2.474843299991335
"[23, 23]","['elu', 'elu']",f0f0,700,Adam,MaxAbsoluteDeviation,0.20649577677249908,0.1466231346130371,1.4742655000009108
"[23, 23]","['elu', 'elu']",f0f0,307,Adam,MaxAbsoluteDeviation,0.6210540533065796,0.5596675872802734,1.217369999998482
[23],['elu'],f0f0,307,Adam,MaxAbsoluteDeviation,0.6210540533065796,2.8255233764648438,1.0546197999938158
"[23, 23]","['elu', 'elu']",f0f0,700,Adam,MaxAbsoluteDeviation,0.1873282790184021,0.3113417625427246,2.4288558999978704
"[8, 23]","['elu', 'elu']",00f0,700,Adam,MaxAbsoluteDeviation,0.13021442294120789,0.17652320861816406,2.437529100003303
"[8, 23, 22]","['elu', 'elu', 'sigmoid']",00f0,700,Adam,MaxAbsoluteDeviation,0.13021442294120789,0.3130359649658203,2.6915965000080178
"[8, 23]","['elu', 'elu']",00f0,700,Adam,MaxAbsoluteDeviation,0.0813777893781662,0.11599338799715042,2.4359459999977844
