"[18, 12]","['sigmoid', 'tanh']",a649,346,Adam,MaxAbsoluteDeviation,0.23682813346385956,0.1866241693496704,3.3412919000256807
[18],['sigmoid'],a6,346,Adam,MaxAbsoluteDeviation,0.38106319308280945,0.24874089658260345,2.9576894999481738
[18],['sigmoid'],a6,700,Adam,MaxAbsoluteDeviation,0.20192863047122955,0.11777999997138977,5.847338099963963
"[18, 13]","['sigmoid', 'elu']",a650,700,Adam,MaxAbsoluteDeviation,0.318034827709198,0.20409606397151947,6.610351599985734
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.22080537676811218,0.1784355193376541,5.831041100085713
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.2478175014257431,0.14830522239208221,5.809656700002961
[8],['elu'],00,100,Adam,MaxAbsoluteDeviation,2.035043239593506,1.598700761795044,1.0518705999711528
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.19421738386154175,0.06951308995485306,5.76542770001106
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.12723372876644135,0.09810969978570938,5.838441499974579
[8],['sigmoid'],06,700,Adam,MaxAbsoluteDeviation,0.09753179550170898,0.07390885055065155,5.7871765999589115
