"[20, 17, 19]","['swish', 'tanh', 'elu']",c899b0,150,Adam,MaxAbsoluteDeviation,0.2211659997701645,0.10879550874233246,0.7816107000689954
"[20, 17]","['swish', 'tanh']",c899,150,Adam,MaxAbsoluteDeviation,0.12276612967252731,0.07460105419158936,0.7140063000842929
"[20, 17]","['swish', 'tanh']",c899,700,Adam,MaxAbsoluteDeviation,0.03448973596096039,0.04649347439408302,2.218006500042975
