[9],['sigmoid'],16,117,Adam,MaxAbsoluteDeviation,5.0956292152404785,4.629912853240967,0.7005489999428391
"[8, 23]","['swish', 'elu']",08f0,662,Adam,MaxAbsoluteDeviation,0.2404106706380844,0.17450405657291412,3.047232500044629
"[8, 23, 13]","['swish', 'elu', 'sigmoid']",08f056,662,Adam,MaxAbsoluteDeviation,0.29017212986946106,0.27634719014167786,3.3092649000464007
"[8, 23, 13]","['sigmoid', 'elu', 'sigmoid']",06f056,662,Adam,MaxAbsoluteDeviation,0.5212469696998596,0.3028431236743927,3.2691785999340937
"[8, 23, 13]","['sigmoid', 'elu', 'sigmoid']",06f056,700,Adam,MaxAbsoluteDeviation,0.16441623866558075,0.17713968455791473,3.405163099989295
"[8, 23, 13]","['sigmoid', 'elu', 'tanh']",06f059,700,Adam,MaxAbsoluteDeviation,0.21531295776367188,0.11575762182474136,3.32266389997676
"[8, 23, 13, 10]","['sigmoid', 'elu', 'tanh', 'elu']",06f05920,700,Adam,MaxAbsoluteDeviation,0.5252695679664612,0.23451848328113556,3.6470119999721646
"[8, 23, 13, 10]","['swish', 'elu', 'tanh', 'elu']",08f05920,700,Adam,MaxAbsoluteDeviation,0.7439051270484924,0.34837689995765686,3.8058655000058934
"[8, 23, 13, 10]","['swish', 'elu', 'tanh', 'elu']",08f05920,700,Adam,MaxAbsoluteDeviation,0.4046468734741211,0.27603259682655334,3.7139838999137282
"[8, 8, 13, 10]","['swish', 'elu', 'tanh', 'elu']",08005920,700,Adam,MaxAbsoluteDeviation,0.2002699077129364,0.1925731897354126,3.7472192998975515
"[8, 8, 23, 10]","['swish', 'elu', 'tanh', 'elu']",0800f920,700,Adam,MaxAbsoluteDeviation,0.629930853843689,0.3080330491065979,3.6589900999097154
"[8, 8, 23]","['swish', 'elu', 'tanh']",0800f9,700,Adam,MaxAbsoluteDeviation,0.11437713354825974,0.09735960513353348,3.3808593000285327
"[8, 8, 23]","['swish', 'elu', 'tanh']",0800f9,700,Adam,MaxAbsoluteDeviation,0.1404038816690445,0.09887977689504623,3.3824514999287203
"[8, 8, 23]","['swish', 'elu', 'tanh']",0800f9,700,Adam,MaxAbsoluteDeviation,0.2713993787765503,0.14770349860191345,3.335359300021082
"[8, 8, 23]","['tanh', 'elu', 'tanh']",0900f9,700,Adam,MaxAbsoluteDeviation,0.42362892627716064,0.2487279772758484,3.289620600058697
"[8, 8, 23]","['tanh', 'elu', 'tanh']",0900f9,700,Adam,MaxAbsoluteDeviation,0.3048497140407562,0.131604865193367,3.2900916000362486
"[8, 8, 23, 13]","['tanh', 'elu', 'tanh', 'elu']",0900f950,700,Adam,MaxAbsoluteDeviation,0.5271213054656982,0.36241206526756287,3.618495599948801
"[8, 8, 23, 13]","['tanh', 'elu', 'tanh', 'elu']",0900f950,700,Adam,MaxAbsoluteDeviation,0.5679823756217957,0.14172007143497467,3.555563799920492
"[8, 8, 23]","['tanh', 'elu', 'tanh']",0900f9,700,Adam,MaxAbsoluteDeviation,0.14450953900814056,0.22816063463687897,3.2914745999732986
"[8, 8, 23, 8]","['tanh', 'elu', 'tanh', 'swish']",0900f908,700,Adam,MaxAbsoluteDeviation,0.1304248571395874,0.21683289110660553,3.6047839999664575
"[8, 8, 23, 8]","['tanh', 'elu', 'tanh', 'swish']",0900f908,363,Adam,MaxAbsoluteDeviation,0.1304248571395874,0.25080499053001404,2.029831900028512
"[8, 8, 23, 8]","['tanh', 'elu', 'tanh', 'swish']",0900f908,700,Adam,MaxAbsoluteDeviation,0.37978988885879517,0.13590624928474426,3.560533000039868
"[8, 8, 23]","['tanh', 'elu', 'tanh']",0900f9,700,Adam,MaxAbsoluteDeviation,0.2619974613189697,0.2768087685108185,3.2784969001077116
"[8, 8, 18]","['tanh', 'elu', 'elu']",0900a0,700,Adam,MaxAbsoluteDeviation,0.35277044773101807,0.22715391218662262,3.2465443999972194
"[8, 8, 18]","['tanh', 'elu', 'elu']",0900a0,483,Adam,MaxAbsoluteDeviation,0.171950563788414,0.11485596001148224,2.3664193999720737
"[8, 8, 18]","['sigmoid', 'elu', 'elu']",0600a0,483,Adam,MaxAbsoluteDeviation,0.3013504147529602,0.17381790280342102,2.3108560000546277
"[8, 8, 18, 23]","['sigmoid', 'elu', 'elu', 'tanh']",0600a0f9,483,Adam,MaxAbsoluteDeviation,0.4630272388458252,0.558171272277832,2.463867499958724
"[8, 8, 8, 23]","['sigmoid', 'elu', 'elu', 'tanh']",060000f9,483,Adam,MaxAbsoluteDeviation,0.6068927049636841,0.2992917001247406,8.604140300070867
"[8, 23, 8, 23]","['sigmoid', 'elu', 'elu', 'tanh']",06f000f9,483,Adam,MaxAbsoluteDeviation,0.3295559883117676,0.10285526514053345,3.6693307999521494
"[8, 23, 8, 23]","['sigmoid', 'elu', 'swish', 'tanh']",06f008f9,483,Adam,MaxAbsoluteDeviation,0.44344308972358704,0.38748860359191895,3.7140703999903053
"[8, 23, 8, 23]","['sigmoid', 'elu', 'swish', 'elu']",06f008f0,483,Adam,MaxAbsoluteDeviation,0.43440496921539307,0.26710546016693115,3.8114677000558004
"[8, 23, 8]","['sigmoid', 'elu', 'swish']",06f008,700,Adam,MaxAbsoluteDeviation,0.5214633345603943,0.5595651268959045,4.57952839997597
"[8, 23]","['sigmoid', 'elu']",06f0,700,Adam,MaxAbsoluteDeviation,0.14677636325359344,0.1594558209180832,3.845254800049588
"[8, 23]","['sigmoid', 'swish']",06f8,700,Adam,MaxAbsoluteDeviation,0.28025585412979126,0.16634336113929749,3.901341799995862
"[8, 23, 22]","['sigmoid', 'swish', 'swish']",06f8e8,700,Adam,MaxAbsoluteDeviation,0.18442100286483765,0.2806501090526581,4.592844599974342
"[8, 23, 22]","['sigmoid', 'swish', 'swish']",06f8e8,700,Adam,MaxAbsoluteDeviation,0.18442100286483765,0.43151336908340454,4.561230699997395
"[8, 23, 22, 8]","['sigmoid', 'swish', 'swish', 'sigmoid']",06f8e806,700,Adam,MaxAbsoluteDeviation,0.32715874910354614,0.21787196397781372,5.228467999957502
"[8, 23, 22, 8]","['sigmoid', 'swish', 'swish', 'sigmoid']",06f8e806,537,Adam,MaxAbsoluteDeviation,0.22606343030929565,0.11886375397443771,4.092712800018489
"[8, 23, 22]","['sigmoid', 'swish', 'swish']",06f8e8,537,Adam,MaxAbsoluteDeviation,0.38798344135284424,0.29974859952926636,3.556620700052008
"[8, 23, 22]","['sigmoid', 'swish', 'tanh']",06f8e9,537,Adam,MaxAbsoluteDeviation,0.23489387333393097,0.07180020958185196,3.444319300004281
"[8, 23, 22, 9]","['sigmoid', 'swish', 'tanh', 'sigmoid']",06f8e916,537,Adam,MaxAbsoluteDeviation,0.1598898321390152,0.2334715723991394,3.9668616999406368
"[8, 23, 22]","['sigmoid', 'swish', 'tanh']",06f8e9,537,Adam,MaxAbsoluteDeviation,0.12998196482658386,0.1183089166879654,3.4051659000106156
"[8, 23]","['sigmoid', 'swish']",06f8,537,Adam,MaxAbsoluteDeviation,0.4489102065563202,0.33796659111976624,2.9583036000840366
