"[12, 13, 17]","['swish', 'sigmoid', 'sigmoid']",485696,463,Adam,MaxAbsoluteDeviation,0.06461497396230698,0.06398866325616837,2.9141257000155747
[12],['elu'],40,400,Adam,MaxAbsoluteDeviation,0.21120066940784454,0.22013768553733826,1.9564244999783114
[12],['elu'],40,400,Adam,MaxAbsoluteDeviation,0.2747582495212555,0.2226777970790863,1.9627795000560582
[23],['elu'],f0,400,Adam,MaxAbsoluteDeviation,0.2598261535167694,0.24177522957324982,1.9476722000399604
[23],['elu'],f0,400,Adam,MaxAbsoluteDeviation,0.27699798345565796,0.2974625527858734,1.9481098999967799
[23],['elu'],f0,155,Adam,MaxAbsoluteDeviation,0.46522048115730286,0.42829814553260803,0.9216008000075817
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.20730464160442352,0.21734270453453064,3.2488562000216916
[8],['elu'],00,398,Adam,MaxAbsoluteDeviation,0.43376290798187256,0.3848905563354492,1.9589493999956176
[23],['elu'],f0,398,Adam,MaxAbsoluteDeviation,0.32400381565093994,0.2565633952617645,1.9489237000234425
[23],['elu'],f0,100,Adam,MaxAbsoluteDeviation,0.4813973605632782,0.4909348487854004,0.700439800042659
[8],['elu'],00,100,Adam,MaxAbsoluteDeviation,0.49164921045303345,0.46727657318115234,0.7013861999148503
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,0.36929643154144287,0.3165725767612457,3.272926599951461
"[8, 23]","['elu', 'sigmoid']",00f6,700,Adam,MaxAbsoluteDeviation,0.052793167531490326,0.07659287005662918,3.499286700040102
