"[23, 9]","['tanh', 'elu']",f910,130,Adam,MaxAbsoluteDeviation,0.22243133187294006,0.3094508647918701,0.9288851999444887
"[23, 9, 20]","['tanh', 'elu', 'elu']",f910c0,130,Adam,MaxAbsoluteDeviation,0.28615838289260864,0.27116847038269043,0.7753101999405771
"[23, 9, 20]","['tanh', 'elu', 'elu']",f910c0,700,Adam,MaxAbsoluteDeviation,0.04755595698952675,0.06363952159881592,2.5248940999154
