[21],['elu'],d0,101,Adam,RootMeanSquaredError,1.537949800491333,1.352782130241394,0.6985493000829592
"[21, 16]","['elu', 'swish']",d088,101,Adam,RootMeanSquaredError,0.13438403606414795,0.24530914425849915,0.8084927999880165
"[21, 16]","['elu', 'swish']",d088,700,Adam,RootMeanSquaredError,0.07181954383850098,0.040240466594696045,3.5117316000396386
