"[18, 17]","['swish', 'elu']",a890,624,Adam,MaxAbsoluteDeviation,0.06821796298027039,0.075693279504776,3.633277300046757
"[14, 9, 20]","['swish', 'swish', 'tanh']",6818c9,183,Adam,MaxAbsoluteDeviation,0.10127940028905869,0.10143806785345078,1.2913398999953642
"[14, 9, 20]","['swish', 'swish', 'tanh']",6818c9,700,Adam,MaxAbsoluteDeviation,0.05190081149339676,0.04059604927897453,3.7501771000679582
