"[8, 8, 8, 23, 12, 13]","['swish', 'elu', 'swish', 'tanh', 'swish', 'swish']",080008f94858,700,Adam,MaxAbsoluteDeviation,0.3785139322280884,0.25824928283691406,3.1525920999702066
"[8, 8, 8, 23, 12, 13, 22]","['swish', 'elu', 'swish', 'tanh', 'swish', 'swish', 'swish']",080008f94858e8,700,Adam,MaxAbsoluteDeviation,0.27592429518699646,0.2249279022216797,3.3958584999199957
"[8, 8, 8, 23, 12, 13, 22, 18]","['swish', 'elu', 'swish', 'tanh', 'swish', 'swish', 'swish', 'tanh']",080008f94858e8a9,700,Adam,MaxAbsoluteDeviation,0.27592429518699646,8.3936767578125,3.6315953000448644
"[8, 8, 8, 23, 12, 13, 8]","['swish', 'elu', 'swish', 'tanh', 'swish', 'swish', 'swish']",080008f9485808,700,Adam,MaxAbsoluteDeviation,0.5286184549331665,1.2516365051269531,3.394373400020413
"[8, 8, 8, 23, 12, 13, 8]","['swish', 'elu', 'swish', 'tanh', 'swish', 'swish', 'swish']",080008f9485808,700,Adam,MaxAbsoluteDeviation,0.25948476791381836,0.23928070068359375,3.3912310999585316
"[8, 8, 8, 23, 23, 13, 8]","['swish', 'elu', 'swish', 'tanh', 'swish', 'swish', 'swish']",080008f9f85808,700,Adam,MaxAbsoluteDeviation,0.25948476791381836,0.2770237922668457,3.3916599999647588
"[8, 8, 8, 23, 12, 13, 8]","['swish', 'elu', 'swish', 'tanh', 'swish', 'swish', 'swish']",080008f9485808,700,Adam,MaxAbsoluteDeviation,0.25948476791381836,0.5821466445922852,3.366449899971485
"[8, 8, 8, 23, 12, 13, 8]","['swish', 'elu', 'swish', 'elu', 'swish', 'swish', 'swish']",080008f0485808,700,Adam,MaxAbsoluteDeviation,0.3167731463909149,0.07235884666442871,3.394320599967614
"[8, 8, 8, 23, 12, 13, 8]","['swish', 'elu', 'swish', 'elu', 'swish', 'swish', 'swish']",080008f0485808,580,Adam,MaxAbsoluteDeviation,0.4000777304172516,0.5184402465820312,2.9135382999666035
"[8, 8, 8, 23, 12, 13, 8]","['swish', 'elu', 'swish', 'elu', 'swish', 'swish', 'swish']",080008f0485808,700,Adam,MaxAbsoluteDeviation,0.20296722650527954,0.14051854610443115,3.394889899995178
"[8, 8, 8, 23, 12, 13]","['swish', 'elu', 'swish', 'elu', 'swish', 'swish']",080008f04858,700,Adam,MaxAbsoluteDeviation,0.5301995277404785,0.43976783752441406,3.1693625000771135
"[8, 23, 8, 23, 12, 13, 9]","['swish', 'elu', 'swish', 'elu', 'swish', 'swish', 'elu']",08f008f0485810,700,Adam,MaxAbsoluteDeviation,0.4950850307941437,0.6479854583740234,3.347801600000821
"[8, 23, 8, 23, 12, 13, 9]","['swish', 'elu', 'swish', 'elu', 'swish', 'swish', 'elu']",08f008f0485810,100,Adam,MaxAbsoluteDeviation,0.4950850307941437,0.6116752624511719,1.0530990000115708
"[8, 23, 8, 23, 12, 13, 9]","['swish', 'elu', 'swish', 'elu', 'swish', 'swish', 'elu']",08f008f0485810,700,Adam,MaxAbsoluteDeviation,1.295782446861267,1.8965911865234375,3.346795899909921
"[8, 23, 8, 23, 12, 13, 9]","['swish', 'elu', 'swish', 'elu', 'swish', 'swish', 'elu']",08f008f0485810,700,Adam,MaxAbsoluteDeviation,1.299646258354187,0.7355880737304688,3.3365938999922946
"[8, 23, 8, 23, 12, 13, 9]","['swish', 'elu', 'swish', 'elu', 'swish', 'swish', 'elu']",08f008f0485810,700,Adam,MaxAbsoluteDeviation,1.0761698484420776,0.6606600284576416,3.271361899911426
"[8, 23, 8, 23, 12, 13, 9]","['swish', 'elu', 'swish', 'elu', 'swish', 'sigmoid', 'elu']",08f008f0485610,700,Adam,MaxAbsoluteDeviation,1.837769627571106,3.0189762115478516,3.2648362000472844
"[8, 23, 8, 23, 12, 13, 9]","['swish', 'elu', 'swish', 'elu', 'swish', 'sigmoid', 'elu']",08f008f0485610,700,Adam,MaxAbsoluteDeviation,0.27855169773101807,0.36700916290283203,3.2522220999235287
"[8, 23, 8, 23, 12, 13, 9]","['swish', 'elu', 'swish', 'elu', 'swish', 'sigmoid', 'elu']",08f008f0485610,700,Adam,MaxAbsoluteDeviation,0.6621118783950806,0.7685432434082031,3.2097115999786183
"[8, 23, 8, 23, 12, 13]","['swish', 'elu', 'swish', 'elu', 'swish', 'sigmoid']",08f008f04856,700,Adam,MaxAbsoluteDeviation,0.3164369463920593,0.16311967372894287,3.0520638999296352
"[8, 23, 8, 23, 12]","['swish', 'elu', 'swish', 'elu', 'swish']",08f008f048,700,Adam,MaxAbsoluteDeviation,0.8345481753349304,0.5038967132568359,2.8813659000443295
"[8, 23, 8, 23]","['swish', 'sigmoid', 'swish', 'elu']",08f608f0,700,Adam,MaxAbsoluteDeviation,0.5147149562835693,0.2880086898803711,2.6749137999722734
"[8, 23, 8, 8]","['swish', 'elu', 'swish', 'swish']",08f00808,700,Adam,MaxAbsoluteDeviation,0.24132508039474487,0.3789710998535156,2.7351362999761477
"[8, 23, 8, 8]","['swish', 'elu', 'swish', 'swish']",08f00808,700,Adam,MaxAbsoluteDeviation,0.23100565373897552,0.15551376342773438,2.7339745999779552
"[8, 23, 8, 8, 21]","['swish', 'elu', 'swish', 'swish', 'sigmoid']",08f00808d6,700,Adam,MaxAbsoluteDeviation,0.9926518201828003,1.2501811981201172,2.8418862000107765
"[8, 23, 8, 8, 21]","['swish', 'elu', 'swish', 'swish', 'sigmoid']",08f00808d6,700,Adam,MaxAbsoluteDeviation,0.7771530151367188,0.40335822105407715,2.852037900011055
"[8, 8, 8, 8, 21]","['swish', 'elu', 'swish', 'swish', 'sigmoid']",08000808d6,700,Adam,MaxAbsoluteDeviation,0.18906845152378082,0.5010643005371094,2.8204308999702334
"[8, 8, 8, 8, 21]","['swish', 'elu', 'swish', 'swish', 'sigmoid']",08000808d6,700,Adam,MaxAbsoluteDeviation,0.555715024471283,0.37940025329589844,2.804834800073877
"[8, 8, 8, 8, 21]","['swish', 'elu', 'swish', 'swish', 'sigmoid']",08000808d6,700,Adam,MaxAbsoluteDeviation,0.2285567671060562,0.3585529327392578,2.7817947000730783
"[8, 8, 8, 8]","['swish', 'elu', 'swish', 'swish']",08000808,700,Adam,MaxAbsoluteDeviation,0.2285567671060562,0.5400409698486328,2.6521887000417337
"[8, 8, 8, 8, 21]","['swish', 'elu', 'swish', 'swish', 'sigmoid']",08000808d6,331,Adam,MaxAbsoluteDeviation,0.2285567671060562,0.22020578384399414,1.5536744000855833
"[8, 8, 8, 8]","['swish', 'elu', 'swish', 'swish']",08000808,700,Adam,MaxAbsoluteDeviation,0.1716938465833664,0.1641864776611328,2.663337799953297
"[8, 8, 8, 8]","['swish', 'elu', 'swish', 'swish']",08000808,532,Adam,MaxAbsoluteDeviation,0.25674811005592346,0.35346412658691406,2.1119976999470964
"[8, 8, 8]","['swish', 'elu', 'swish']",080008,501,Adam,MaxAbsoluteDeviation,0.32838332653045654,0.7177467346191406,1.8490520999766886
"[8, 8, 8]","['swish', 'elu', 'swish']",080008,501,Adam,MaxAbsoluteDeviation,0.12792961299419403,0.06475913524627686,1.8325229999609292
"[8, 8, 8, 9]","['swish', 'elu', 'swish', 'tanh']",08000819,501,Adam,MaxAbsoluteDeviation,0.18148694932460785,0.11324667930603027,1.9810235999757424
"[8, 8, 8, 9, 23]","['swish', 'elu', 'swish', 'tanh', 'sigmoid']",08000819f6,501,Adam,MaxAbsoluteDeviation,0.6304143667221069,0.34288978576660156,2.0709840999916196
"[8, 8, 8, 9, 23, 23]","['swish', 'elu', 'swish', 'tanh', 'sigmoid', 'sigmoid']",08000819f6f6,501,Adam,MaxAbsoluteDeviation,0.3343261480331421,0.3597679138183594,2.167780900024809
"[8, 8, 8, 9, 23, 23]","['swish', 'elu', 'swish', 'tanh', 'sigmoid', 'sigmoid']",08000819f6f6,700,Adam,MaxAbsoluteDeviation,0.340240478515625,0.14617323875427246,2.8413730000611395
"[8, 8, 8, 9, 23, 23]","['swish', 'elu', 'swish', 'tanh', 'sigmoid', 'sigmoid']",08000819f6f6,700,Adam,MaxAbsoluteDeviation,0.4601423740386963,0.3050498962402344,2.8106362000107765
"[8, 8, 8, 9, 23, 23]","['swish', 'elu', 'swish', 'tanh', 'sigmoid', 'sigmoid']",08000819f6f6,700,Adam,MaxAbsoluteDeviation,0.3051159977912903,0.2173786163330078,2.861479900078848
"[8, 8, 8, 9, 23]","['swish', 'elu', 'swish', 'tanh', 'sigmoid']",08000819f6,301,Adam,MaxAbsoluteDeviation,0.7455953359603882,1.26971435546875,1.4204261000268161
"[8, 8, 8, 9]","['swish', 'elu', 'swish', 'tanh']",08000819,301,Adam,MaxAbsoluteDeviation,0.3395978808403015,0.5269203186035156,4.62641030002851
"[8, 8, 8]","['swish', 'elu', 'swish']",080008,301,Adam,MaxAbsoluteDeviation,0.27815544605255127,0.3852872848510742,1.3342803000705317
"[8, 8]","['swish', 'elu']",0800,301,Adam,MaxAbsoluteDeviation,0.7043687701225281,0.7988730072975159,1.1640778000000864
"[8, 8]","['swish', 'elu']",0800,301,Adam,MaxAbsoluteDeviation,0.4068530201911926,0.48467209935188293,1.1627959000179544
"[8, 23]","['swish', 'elu']",08f0,301,Adam,MaxAbsoluteDeviation,0.5944211483001709,0.6131935119628906,1.1678872999036685
"[8, 8]","['swish', 'elu']",0800,301,Adam,MaxAbsoluteDeviation,0.7144582271575928,0.3410247564315796,1.161927199922502
[8],['swish'],08,301,Adam,MaxAbsoluteDeviation,0.7144582271575928,3.1818675994873047,1.0212020999751985
"[8, 8]","['swish', 'elu']",0800,301,Adam,MaxAbsoluteDeviation,0.27769672870635986,0.3365364074707031,1.1639629999408498
