"[20, 21, 22]","['tanh', 'tanh', 'tanh']",c9d9e9,631,Adam,0.1287391632795334,0.1287391632795334,0.20967884361743927,2.12365040000077
"[20, 21]","['tanh', 'tanh']",c9d9,700,Adam,MaxAbsoluteDeviation,0.10394063591957092,0.062447451055049896,2.2280869999995048
"[8, 21]","['tanh', 'tanh']",09d9,700,Adam,MaxAbsoluteDeviation,0.06476248800754547,0.0917443111538887,2.2304385999996157
