[10],['swish'],28,220,Adam,MaxAbsoluteDeviation,0.8014404773712158,0.5434226989746094,1.9610739999916404
"[8, 23, 23, 8, 19]","['elu', 'tanh', 'elu', 'tanh', 'tanh']",00f9f009b9,700,Adam,MaxAbsoluteDeviation,0.5565595030784607,0.3283078670501709,8.002852899953723
"[8, 23, 23, 19, 19]","['elu', 'tanh', 'elu', 'tanh', 'tanh']",00f9f0b9b9,700,Adam,MaxAbsoluteDeviation,0.48896023631095886,0.2819405496120453,7.590847600018606
"[8, 23, 23, 19, 19]","['elu', 'tanh', 'elu', 'tanh', 'tanh']",00f9f0b9b9,700,Adam,MaxAbsoluteDeviation,0.4569939374923706,0.40621238946914673,7.770231900038198
"[8, 23, 23, 19, 19]","['elu', 'tanh', 'elu', 'tanh', 'tanh']",00f9f0b9b9,355,Adam,MaxAbsoluteDeviation,0.7169560194015503,0.3710901737213135,4.114598299958743
"[8, 23, 23, 8, 19]","['elu', 'tanh', 'elu', 'tanh', 'tanh']",00f9f009b9,700,Adam,MaxAbsoluteDeviation,0.23390039801597595,0.2681538164615631,7.557901199907064
"[8, 23, 23, 8]","['elu', 'tanh', 'elu', 'tanh']",00f9f009,700,Adam,MaxAbsoluteDeviation,0.27710655331611633,0.12626613676548004,7.3139805000973865
"[8, 23, 23, 8, 17]","['elu', 'tanh', 'elu', 'tanh', 'sigmoid']",00f9f00996,700,Adam,MaxAbsoluteDeviation,0.3584962487220764,0.12492933124303818,7.232944399933331
"[23, 23, 23, 8, 17]","['elu', 'tanh', 'elu', 'tanh', 'sigmoid']",f0f9f00996,700,Adam,MaxAbsoluteDeviation,0.5195990800857544,0.41852134466171265,7.449166800011881
"[23, 23, 23, 8, 17]","['elu', 'tanh', 'elu', 'elu', 'sigmoid']",f0f9f00096,700,Adam,MaxAbsoluteDeviation,0.3747616708278656,0.2416982799768448,7.489615099970251
"[23, 23, 23, 8]","['elu', 'tanh', 'elu', 'elu']",f0f9f000,700,Adam,MaxAbsoluteDeviation,0.2700861692428589,0.19010500609874725,7.138653500005603
"[23, 23, 23]","['elu', 'tanh', 'elu']",f0f9f0,700,Adam,MaxAbsoluteDeviation,0.2221653163433075,0.08499959856271744,6.504489400074817
"[23, 23, 23]","['elu', 'tanh', 'elu']",f0f9f0,700,Adam,MaxAbsoluteDeviation,0.18073225021362305,0.09612327814102173,6.535758599988185
"[23, 23, 23]","['elu', 'tanh', 'elu']",f0f9f0,472,Adam,MaxAbsoluteDeviation,0.24793343245983124,0.17958953976631165,4.452006999985315
"[23, 23, 23, 16]","['elu', 'tanh', 'elu', 'swish']",f0f9f088,700,Adam,MaxAbsoluteDeviation,0.1713818609714508,0.14750094711780548,7.023269400000572
"[23, 23, 23, 16]","['elu', 'sigmoid', 'elu', 'swish']",f0f6f088,700,Adam,MaxAbsoluteDeviation,0.2508506774902344,0.1848553866147995,7.1733266999945045
"[23, 23, 23, 16]","['elu', 'sigmoid', 'elu', 'swish']",f0f6f088,700,Adam,MaxAbsoluteDeviation,0.37897613644599915,0.17792414128780365,7.141749700065702
"[23, 23, 23]","['elu', 'sigmoid', 'elu']",f0f6f0,404,Adam,MaxAbsoluteDeviation,0.09587100893259048,0.10905443131923676,4.022214700002223
