[12],['sigmoid'],46,362,Adam,RootMeanSquaredError,0.36211663484573364,0.29540950059890747,2.7564728999859653
[23],['elu'],f0,700,Adam,RootMeanSquaredError,0.13875199854373932,0.09342321753501892,5.246419599978253
[23],['elu'],f0,700,Adam,RootMeanSquaredError,0.0325995534658432,0.04305778816342354,5.126776900026016
