[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.2845287024974823,0.26671698689460754,3.0285927000222728
[23],['elu'],f0,700,Adam,MaxAbsoluteDeviation,0.18762695789337158,0.06872713565826416,3.044747499981895
"[23, 13]","['elu', 'swish']",f058,700,Adam,MaxAbsoluteDeviation,0.18154306709766388,0.1384744644165039,3.547608399996534
"[23, 13]","['elu', 'swish']",f058,100,Adam,MaxAbsoluteDeviation,0.44818222522735596,0.3607478439807892,0.7689254999859259
"[23, 8]","['elu', 'swish']",f008,100,Adam,MaxAbsoluteDeviation,0.27153313159942627,0.2719285786151886,0.766780799953267
"[23, 8]","['elu', 'swish']",f008,100,Adam,MaxAbsoluteDeviation,0.8845714330673218,0.5657901167869568,0.7674248000839725
"[23, 8]","['elu', 'tanh']",f009,100,Adam,MaxAbsoluteDeviation,0.49963265657424927,0.38723036646842957,0.7546194999013096
"[8, 8]","['elu', 'tanh']",0009,100,Adam,MaxAbsoluteDeviation,0.40681952238082886,0.33710941672325134,0.7533461999846622
"[8, 8, 11]","['elu', 'tanh', 'sigmoid']",000936,100,Adam,MaxAbsoluteDeviation,0.2796686589717865,0.09011848270893097,0.8578760999953374
"[8, 8, 21]","['elu', 'tanh', 'sigmoid']",0009d6,100,Adam,MaxAbsoluteDeviation,0.1778401881456375,0.2628026008605957,0.8574345998931676
"[8, 8, 23]","['elu', 'tanh', 'sigmoid']",0009f6,100,Adam,MaxAbsoluteDeviation,0.22763198614120483,0.31537723541259766,0.8550275999587029
"[8, 8, 23]","['elu', 'tanh', 'sigmoid']",0009f6,700,Adam,MaxAbsoluteDeviation,0.1273626685142517,0.05824577435851097,3.8425585000077263
"[8, 8, 23]","['elu', 'tanh', 'sigmoid']",0009f6,700,Adam,MaxAbsoluteDeviation,0.1547383815050125,0.020610185340046883,3.8010711000533774
"[8, 8, 23]","['elu', 'tanh', 'sigmoid']",0009f6,352,Adam,MaxAbsoluteDeviation,0.4456111788749695,0.1549200713634491,2.0199946999782696
"[8, 23, 23]","['elu', 'tanh', 'sigmoid']",00f9f6,352,Adam,MaxAbsoluteDeviation,0.30084484815597534,0.07117664068937302,2.0449037000071257
"[8, 23, 23]","['elu', 'tanh', 'sigmoid']",00f9f6,100,Adam,MaxAbsoluteDeviation,0.2248247265815735,0.36678794026374817,0.849760300014168
"[8, 23, 23]","['elu', 'tanh', 'sigmoid']",00f9f6,100,Adam,MaxAbsoluteDeviation,0.2248247265815735,0.4995433986186981,0.8557798999827355
"[8, 23, 23]","['elu', 'tanh', 'tanh']",00f9f9,100,Adam,MaxAbsoluteDeviation,0.3014064431190491,0.08308527618646622,0.843296599923633
"[8, 23, 23]","['elu', 'tanh', 'sigmoid']",00f9f6,100,Adam,MaxAbsoluteDeviation,0.29367369413375854,0.32916316390037537,0.8340978999622166
"[8, 23, 23]","['elu', 'tanh', 'sigmoid']",00f9f6,100,Adam,MaxAbsoluteDeviation,0.37213870882987976,0.15605658292770386,0.8371135999914259
"[8, 23, 23]","['elu', 'tanh', 'sigmoid']",00f9f6,100,Adam,MaxAbsoluteDeviation,0.2723378539085388,0.28756579756736755,0.8479466999415308
"[8, 23]","['elu', 'tanh']",00f9,100,Adam,MaxAbsoluteDeviation,0.2723378539085388,0.3917805850505829,0.7361413000617176
"[8, 23, 23]","['elu', 'tanh', 'sigmoid']",00f9f6,100,Adam,MaxAbsoluteDeviation,0.6291840672492981,0.2180403620004654,0.8374349999940023
"[8, 23, 23]","['elu', 'tanh', 'sigmoid']",00f9f6,700,Adam,MaxAbsoluteDeviation,0.2734994888305664,0.1924736052751541,3.6792265999829397
"[8, 23, 8]","['elu', 'tanh', 'sigmoid']",00f906,700,Adam,MaxAbsoluteDeviation,0.2525404393672943,0.18429917097091675,3.611311799963005
"[8, 23, 8]","['elu', 'tanh', 'sigmoid']",00f906,351,Adam,MaxAbsoluteDeviation,0.31695079803466797,0.2434253990650177,1.9597599999979138
"[8, 23, 8]","['elu', 'tanh', 'sigmoid']",00f906,351,Adam,MaxAbsoluteDeviation,0.2972438633441925,0.2357226312160492,1.949201500043273
"[8, 23, 8, 9]","['elu', 'tanh', 'sigmoid', 'elu']",00f90610,351,Adam,MaxAbsoluteDeviation,0.21842437982559204,0.11739194393157959,2.172301199985668
"[8, 23, 8]","['elu', 'tanh', 'sigmoid']",00f906,351,Adam,MaxAbsoluteDeviation,0.21842437982559204,0.28863847255706787,1.9501710999757051
"[8, 23, 8, 9]","['elu', 'tanh', 'sigmoid', 'elu']",00f90610,700,Adam,MaxAbsoluteDeviation,0.14728011190891266,0.1455453783273697,3.971675100037828
"[8, 23, 8, 9, 9]","['elu', 'tanh', 'sigmoid', 'elu', 'elu']",00f9061010,700,Adam,MaxAbsoluteDeviation,0.19142794609069824,0.04872344806790352,4.208276899997145
"[8, 23, 8, 9]","['elu', 'tanh', 'tanh', 'elu']",00f90910,700,Adam,MaxAbsoluteDeviation,0.19142794609069824,0.2608765959739685,3.967575200018473
"[8, 8, 8, 9, 9]","['elu', 'tanh', 'sigmoid', 'elu', 'elu']",0009061010,700,Adam,MaxAbsoluteDeviation,0.31461599469184875,0.13240750133991241,4.285624300013296
"[8, 8, 8, 9, 9]","['elu', 'tanh', 'sigmoid', 'elu', 'elu']",0009061010,700,Adam,MaxAbsoluteDeviation,0.31884080171585083,0.08788556605577469,4.209837600006722
"[8, 8, 8, 23, 23]","['elu', 'tanh', 'sigmoid', 'elu', 'elu']",000906f0f0,700,Adam,MaxAbsoluteDeviation,0.23999729752540588,0.11868250370025635,4.163038600003347
"[8, 8, 8, 23, 23]","['elu', 'tanh', 'sigmoid', 'elu', 'elu']",000906f0f0,700,Adam,MaxAbsoluteDeviation,0.47954925894737244,0.19408351182937622,4.191252899938263
"[8, 8, 8, 23]","['elu', 'tanh', 'sigmoid', 'elu']",000906f0,700,Adam,MaxAbsoluteDeviation,0.28626179695129395,0.13822819292545319,3.8483924999600276
"[8, 8, 8, 23]","['elu', 'tanh', 'sigmoid', 'elu']",000906f0,700,Adam,MaxAbsoluteDeviation,0.2619320750236511,0.21649383008480072,3.8560895000118762
"[8, 23, 8, 23]","['elu', 'tanh', 'sigmoid', 'elu']",00f906f0,700,Adam,MaxAbsoluteDeviation,0.30392858386039734,0.35683074593544006,3.898803799995221
"[8, 23, 8, 23]","['elu', 'tanh', 'sigmoid', 'elu']",00f906f0,249,Adam,MaxAbsoluteDeviation,0.3028416335582733,0.35304567217826843,1.6055395000148565
"[8, 8, 8, 23]","['elu', 'tanh', 'sigmoid', 'elu']",000906f0,249,Adam,MaxAbsoluteDeviation,0.3757396936416626,0.3881836533546448,1.6112350999610499
"[8, 8, 23, 23]","['elu', 'tanh', 'sigmoid', 'elu']",0009f6f0,249,Adam,MaxAbsoluteDeviation,0.19275705516338348,0.2914692163467407,1.5980567999649793
"[8, 8, 23, 23]","['elu', 'tanh', 'sigmoid', 'elu']",0009f6f0,700,Adam,MaxAbsoluteDeviation,0.2534891366958618,0.20176970958709717,3.8394856998929754
"[8, 8, 23, 23]","['elu', 'tanh', 'sigmoid', 'elu']",0009f6f0,477,Adam,MaxAbsoluteDeviation,0.3241676986217499,0.18712201714515686,2.6461945000337437
"[8, 8, 23]","['elu', 'tanh', 'sigmoid']",0009f6,477,Adam,MaxAbsoluteDeviation,0.22724482417106628,0.0465165451169014,2.465123899979517
"[8, 8, 23, 14]","['elu', 'tanh', 'sigmoid', 'sigmoid']",0009f666,100,Adam,MaxAbsoluteDeviation,0.22724482417106628,0.26230093836784363,0.8985413999762386
"[8, 8, 23]","['elu', 'tanh', 'swish']",0009f8,477,Adam,MaxAbsoluteDeviation,0.21476897597312927,0.14006879925727844,2.47583869996015
"[8, 8, 23]","['elu', 'tanh', 'swish']",0009f8,700,Adam,MaxAbsoluteDeviation,0.22779925167560577,0.10501820594072342,3.5029413999291137
"[8, 8, 23, 14]","['elu', 'tanh', 'swish', 'elu']",0009f860,700,Adam,MaxAbsoluteDeviation,0.22779925167560577,0.3266865015029907,3.813460399978794
"[8, 8, 8]","['elu', 'tanh', 'swish']",000908,700,Adam,MaxAbsoluteDeviation,0.1487259864807129,0.11139284819364548,3.3600367000326514
"[8, 8]","['elu', 'tanh']",0009,700,Adam,MaxAbsoluteDeviation,0.17164240777492523,0.04585866257548332,3.1603328000055626
"[8, 8]","['elu', 'tanh']",0009,700,Adam,MaxAbsoluteDeviation,0.08094847202301025,0.06373041868209839,3.1813628000672907
