[22],['tanh'],e9,289,Adam,0.1379355788230896,0.1379355788230896,0.1212322860956192,1.384980100003304
[8],['tanh'],09,289,Adam,MaxAbsoluteDeviation,0.1496921181678772,0.13415652513504028,1.3769309000053909
[8],['tanh'],09,196,Adam,MaxAbsoluteDeviation,0.1414903998374939,0.13519741594791412,1.0286117999930866
[8],['tanh'],09,125,Adam,MaxAbsoluteDeviation,0.24326662719249725,0.23855677247047424,0.7635456999996677
"[8, 17]","['tanh', 'sigmoid']",0996,700,Adam,MaxAbsoluteDeviation,0.026321059092879295,0.03584278002381325,3.487602399996831
