"[22, 12]","['elu', 'tanh']",e049,412,Adam,MaxAbsoluteDeviation,0.08863142877817154,0.10805562138557434,2.462841600063257
"[14, 8, 20, 22]","['sigmoid', 'swish', 'elu', 'tanh']",6608c0e9,560,Adam,MaxAbsoluteDeviation,0.11564244329929352,0.09858597069978714,3.146505199954845
"[14, 8, 20, 22]","['sigmoid', 'swish', 'elu', 'tanh']",6608c0e9,700,Adam,MaxAbsoluteDeviation,0.11434364318847656,0.08309747278690338,3.818327200016938
"[14, 8, 20]","['sigmoid', 'swish', 'elu']",6608c0,700,Adam,MaxAbsoluteDeviation,0.1387089341878891,0.10111503303050995,3.6679874999681488
"[14, 8, 20]","['sigmoid', 'swish', 'elu']",6608c0,700,Adam,MaxAbsoluteDeviation,0.060714974999427795,0.06676693260669708,3.6515165999298915
