"[8, 17, 20]","['tanh', 'swish', 'elu']",0998c0,700,Adam,MaxAbsoluteDeviation,0.15809117257595062,0.12047986686229706,7.2569922000402585
"[8, 17, 20, 8]","['tanh', 'swish', 'elu', 'sigmoid']",0998c006,700,Adam,MaxAbsoluteDeviation,0.24319340288639069,0.1511520892381668,7.665849900105968
"[8, 17, 20, 8]","['tanh', 'swish', 'elu', 'sigmoid']",0998c006,536,Adam,MaxAbsoluteDeviation,0.2091011106967926,0.11053476482629776,5.959256900008768
"[8, 17, 20, 8]","['tanh', 'swish', 'elu', 'sigmoid']",0998c006,700,Adam,MaxAbsoluteDeviation,0.19439978897571564,0.08110273629426956,7.707509299973026
"[8, 17, 20]","['tanh', 'swish', 'elu']",0998c0,700,Adam,MaxAbsoluteDeviation,0.30701690912246704,0.2035456895828247,6.84286069998052
"[8, 17]","['tanh', 'swish']",0998,700,Adam,MaxAbsoluteDeviation,0.13585613667964935,0.10495161265134811,6.247621200047433
"[8, 17]","['tanh', 'swish']",0998,700,Adam,MaxAbsoluteDeviation,0.18891870975494385,0.061707668006420135,6.3627456000540406
"[23, 17]","['tanh', 'swish']",f998,700,Adam,MaxAbsoluteDeviation,0.29640015959739685,0.14126621186733246,6.271408499917015
"[23, 17, 11]","['tanh', 'swish', 'sigmoid']",f99836,700,Adam,MaxAbsoluteDeviation,0.19472986459732056,0.0883750319480896,6.607656199950725
"[23, 17, 11]","['tanh', 'swish', 'sigmoid']",f99836,651,Adam,MaxAbsoluteDeviation,0.20196054875850677,0.1131971925497055,6.442352700047195
"[23, 17, 11, 18]","['tanh', 'swish', 'sigmoid', 'elu']",f99836a0,651,Adam,MaxAbsoluteDeviation,0.3143825829029083,0.11146972328424454,6.925475700059906
"[23, 17, 11, 18]","['tanh', 'swish', 'sigmoid', 'elu']",f99836a0,700,Adam,MaxAbsoluteDeviation,0.28071513772010803,0.2960255444049835,7.305498000001535
"[23, 17, 11, 18, 15]","['tanh', 'swish', 'sigmoid', 'elu', 'sigmoid']",f99836a076,700,Adam,MaxAbsoluteDeviation,0.25170162320137024,0.16056810319423676,8.092299900017679
"[23, 17, 11, 18, 15, 18]","['tanh', 'swish', 'sigmoid', 'elu', 'sigmoid', 'swish']",f99836a076a8,700,Adam,MaxAbsoluteDeviation,0.4889373779296875,0.06994877010583878,8.367760400054976
"[23, 17, 11, 18, 15, 18]","['tanh', 'swish', 'sigmoid', 'elu', 'sigmoid', 'sigmoid']",f99836a076a6,700,Adam,MaxAbsoluteDeviation,0.3028998076915741,0.19297362864017487,8.379441700060852
"[23, 17, 11, 18, 15, 18, 18, 11]","['tanh', 'swish', 'sigmoid', 'elu', 'sigmoid', 'sigmoid', 'sigmoid', 'elu']",f99836a076a6a630,133,Adam,MaxAbsoluteDeviation,0.29798001050949097,0.15044231712818146,2.250355999916792
"[23, 17, 11, 18, 15, 18, 18, 11]","['tanh', 'swish', 'sigmoid', 'elu', 'sigmoid', 'sigmoid', 'sigmoid', 'elu']",f99836a076a6a630,133,Adam,MaxAbsoluteDeviation,0.7085892558097839,0.2797780930995941,2.267642099992372
"[23, 17, 11, 18, 15, 18, 18, 11]","['tanh', 'swish', 'sigmoid', 'elu', 'sigmoid', 'sigmoid', 'sigmoid', 'elu']",f99836a076a6a630,133,Adam,MaxAbsoluteDeviation,0.5408266186714172,0.3813132047653198,2.2819754000520334
"[23, 17, 11, 18, 15, 18, 18, 11]","['tanh', 'swish', 'sigmoid', 'elu', 'sigmoid', 'sigmoid', 'sigmoid', 'elu']",f99836a076a6a630,100,Adam,MaxAbsoluteDeviation,0.6763012409210205,0.48140066862106323,1.8951307000825182
"[23, 17, 11, 18, 15, 18, 8]","['tanh', 'swish', 'sigmoid', 'elu', 'sigmoid', 'sigmoid', 'swish']",f99836a076a608,100,Adam,MaxAbsoluteDeviation,0.7782676815986633,0.40465858578681946,1.8119283999549225
"[23, 17, 11, 18, 15, 18, 8]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'sigmoid', 'swish']",f99838a076a608,100,Adam,MaxAbsoluteDeviation,0.878525972366333,0.16016176342964172,1.8254294999642298
"[23, 17, 23, 18, 15, 18, 8]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'sigmoid', 'swish']",f998f8a076a608,100,Adam,MaxAbsoluteDeviation,0.7580564618110657,0.270699679851532,1.8320780999492854
"[23, 17, 23, 18, 15, 18, 8, 18]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'sigmoid', 'swish', 'elu']",f998f8a076a608a0,100,Adam,MaxAbsoluteDeviation,0.922295093536377,0.3709641695022583,1.9517874999437481
"[23, 17, 23, 18, 15, 18, 8]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'sigmoid', 'swish']",f998f8a076a608,100,Adam,MaxAbsoluteDeviation,0.5044119954109192,0.14991842210292816,1.8044364000670612
"[23, 17, 23, 18, 15, 18, 8, 8]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'sigmoid', 'swish', 'swish']",f998f8a076a60808,100,Adam,MaxAbsoluteDeviation,0.751157820224762,0.21394389867782593,1.9717808000277728
