"[23, 13]","['tanh', 'elu']",f950,102,Adam,RootMeanSquaredError,0.28346988558769226,0.22319906949996948,0.5830006001051515
"[23, 13, 16]","['tanh', 'elu', 'tanh']",f95089,102,Adam,RootMeanSquaredError,0.2140304148197174,0.16108685731887817,0.6539201999548823
"[23, 13, 16]","['tanh', 'elu', 'tanh']",f95089,700,Adam,RootMeanSquaredError,0.03723634406924248,0.0721149891614914,2.3624339000089094
