"[8, 23, 8, 8]","['tanh', 'elu', 'swish', 'tanh']",09f00809,213,Adam,MaxAbsoluteDeviation,0.3345690071582794,0.11267679929733276,1.46112130000256
"[8, 23, 8, 8]","['tanh', 'elu', 'swish', 'tanh']",09f00809,213,Adam,MaxAbsoluteDeviation,0.5558210015296936,0.4624234437942505,1.4757268000394106
"[8, 23, 8, 8]","['tanh', 'elu', 'swish', 'tanh']",09f00809,700,Adam,MaxAbsoluteDeviation,0.28274068236351013,0.05538246035575867,3.905115299974568
"[8, 8, 8, 8]","['tanh', 'elu', 'swish', 'tanh']",09000809,700,Adam,MaxAbsoluteDeviation,0.2100505232810974,0.0999649316072464,3.7813535999739543
"[8, 23, 8]","['tanh', 'elu', 'swish']",09f008,700,Adam,MaxAbsoluteDeviation,0.2918921113014221,0.2251531034708023,3.5827903000172228
"[8, 23]","['tanh', 'elu']",09f0,700,Adam,MaxAbsoluteDeviation,0.12213681638240814,0.07132957130670547,3.287474300013855
"[8, 23]","['tanh', 'elu']",09f0,700,Adam,MaxAbsoluteDeviation,0.12462033331394196,0.21894033253192902,3.2285181999905035
"[23, 23]","['tanh', 'elu']",f9f0,700,Adam,MaxAbsoluteDeviation,0.14901050925254822,0.0845576748251915,3.26288079994265
"[23, 23]","['tanh', 'elu']",f9f0,700,Adam,MaxAbsoluteDeviation,0.31402939558029175,0.17127570509910583,3.2262998999794945
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.1956748515367508,0.17658570408821106,2.9575297998962924
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.18955495953559875,0.1437399983406067,2.972032699966803
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,0.28030338883399963,0.2850319445133209,2.9120282999938354
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.23310938477516174,0.15133045613765717,2.950636300025508
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.27360808849334717,0.17431241273880005,2.9896797999972478
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.22573712468147278,0.26405900716781616,2.964453799999319
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.2265513837337494,0.17931127548217773,2.980011099949479
"[23, 20]","['tanh', 'elu']",f9c0,700,Adam,MaxAbsoluteDeviation,0.39001062512397766,0.16467878222465515,3.2780454999301583
"[23, 23]","['tanh', 'elu']",f9f0,700,Adam,MaxAbsoluteDeviation,0.16426798701286316,0.2188188135623932,3.2334592000115663
"[23, 23]","['tanh', 'elu']",f9f0,700,Adam,MaxAbsoluteDeviation,0.15787582099437714,0.10500981658697128,3.2105838999850675
"[23, 8]","['tanh', 'elu']",f900,700,Adam,MaxAbsoluteDeviation,0.22941149771213531,0.13328994810581207,3.181955099920742
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,0.17998337745666504,0.1710687279701233,2.978232500026934
"[23, 22]","['tanh', 'swish']",f9e8,700,Adam,MaxAbsoluteDeviation,0.16852807998657227,0.07495234161615372,3.2846993000712246
"[23, 22, 19]","['tanh', 'swish', 'swish']",f9e8b8,700,Adam,MaxAbsoluteDeviation,0.24171572923660278,0.05687271058559418,3.574731200002134
"[8, 22, 23]","['tanh', 'swish', 'swish']",09e8f8,700,Adam,MaxAbsoluteDeviation,0.19850605726242065,0.11600326746702194,3.4097246000310406
"[8, 22, 23, 8]","['tanh', 'swish', 'swish', 'elu']",09e8f800,700,Adam,MaxAbsoluteDeviation,0.2931763231754303,0.09508710354566574,3.875535799888894
"[8, 22, 23, 8, 13]","['tanh', 'swish', 'swish', 'elu', 'elu']",09e8f80050,700,Adam,MaxAbsoluteDeviation,0.24171209335327148,0.2286030799150467,4.183092900086194
"[8, 22, 23, 8, 13, 12]","['tanh', 'swish', 'swish', 'elu', 'elu', 'tanh']",09e8f8005049,700,Adam,MaxAbsoluteDeviation,0.2691081166267395,0.11734453588724136,4.414096700027585
"[8, 22, 23, 8, 13, 12]","['tanh', 'swish', 'swish', 'elu', 'elu', 'tanh']",09e8f8005049,700,Adam,MaxAbsoluteDeviation,0.5960685610771179,0.4127645790576935,4.384921199991368
"[8, 22, 23, 8, 13, 12]","['tanh', 'swish', 'swish', 'elu', 'elu', 'tanh']",09e8f8005049,584,Adam,MaxAbsoluteDeviation,0.42618322372436523,0.4575522840023041,3.682301599998027
"[8, 22, 23, 8, 13, 12]","['tanh', 'swish', 'swish', 'elu', 'elu', 'tanh']",09e8f8005049,700,Adam,MaxAbsoluteDeviation,0.33787932991981506,0.19595059752464294,4.391385499970056
"[8, 22, 23, 8, 23, 12]","['tanh', 'swish', 'swish', 'elu', 'elu', 'tanh']",09e8f800f049,700,Adam,MaxAbsoluteDeviation,0.33787932991981506,7.405087947845459,4.377675600000657
"[8, 22, 23, 8, 13, 12]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'tanh']",09e8f8005649,700,Adam,MaxAbsoluteDeviation,0.5653966665267944,0.6048451662063599,4.246602099970914
"[8, 22, 23, 8, 23, 12]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'tanh']",09e8f800f649,700,Adam,MaxAbsoluteDeviation,0.38074493408203125,0.1474827527999878,4.310106199933216
"[8, 23, 23, 8, 23, 12]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'tanh']",09f8f800f649,700,Adam,MaxAbsoluteDeviation,0.3829411268234253,0.4520072340965271,4.188948999973945
"[8, 23, 23, 8, 8, 12]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'tanh']",09f8f8000649,700,Adam,MaxAbsoluteDeviation,0.2619791626930237,0.21589884161949158,4.163662799983285
"[8, 23, 23, 8, 8, 12]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'tanh']",09f8f8000649,474,Adam,MaxAbsoluteDeviation,0.4545214772224426,0.45745915174484253,2.9884796999394894
"[8, 23, 23, 8, 8, 12, 12]","['tanh', 'swish', 'swish', 'elu', 'sigmoid', 'tanh', 'sigmoid']",09f8f800064946,474,Adam,MaxAbsoluteDeviation,0.4545214772224426,7.4219207763671875,3.1839357999851927
"[8, 23, 23, 8, 8, 12]","['tanh', 'swish', 'elu', 'elu', 'sigmoid', 'tanh']",09f8f0000649,474,Adam,MaxAbsoluteDeviation,0.14782242476940155,0.136498361825943,2.9845727999927476
"[8, 23, 23, 8, 8, 12]","['tanh', 'swish', 'elu', 'elu', 'sigmoid', 'tanh']",09f8f0000649,700,Adam,MaxAbsoluteDeviation,0.42007043957710266,0.5797016620635986,12.063657699967735
"[8, 23, 23, 8, 8, 12, 23]","['tanh', 'swish', 'elu', 'elu', 'sigmoid', 'tanh', 'sigmoid']",09f8f0000649f6,700,Adam,MaxAbsoluteDeviation,0.3978476822376251,0.3365333080291748,7.691159299924038
