[8],['swish'],08,505,Adam,MaxAbsoluteDeviation,0.17397521436214447,0.1658138632774353,2.19297909992747
"[8, 23]","['swish', 'swish']",08f8,505,Adam,MaxAbsoluteDeviation,0.10131613165140152,0.07619599997997284,2.370464799925685
"[8, 23]","['swish', 'swish']",08f8,700,Adam,MaxAbsoluteDeviation,0.030247382819652557,0.027524476870894432,3.4289481000741944
