"[12, 14]","['swish', 'swish']",4868,467,Adam,RootMeanSquaredError,0.14850974082946777,0.018848437815904617,1.5867152999853715
"[12, 14, 18]","['swish', 'swish', 'sigmoid']",4868a6,467,Adam,RootMeanSquaredError,0.10101082175970078,0.12360458076000214,1.6952730999328196
"[23, 14, 18]","['swish', 'swish', 'sigmoid']",f868a6,467,Adam,RootMeanSquaredError,0.05373750627040863,0.05158185586333275,1.6936975999269634
