"[18, 11]","['sigmoid', 'elu']",a630,169,Adam,MaxAbsoluteDeviation,0.42276182770729065,0.3526010513305664,1.1191435001092032
"[18, 8]","['elu', 'elu']",a000,169,Adam,MaxAbsoluteDeviation,0.3552018404006958,0.38397252559661865,1.1434265000279993
"[18, 8]","['elu', 'elu']",a000,700,Adam,MaxAbsoluteDeviation,0.09380292147397995,0.07390233129262924,3.7446387000381947
