"[9, 15, 23]","['elu', 'swish', 'elu']",1078f0,680,Adam,RootMeanSquaredError,0.21916644275188446,0.11641966551542282,4.293377100024372
"[9, 15]","['tanh', 'swish']",1978,680,Adam,RootMeanSquaredError,0.11026208102703094,0.1263337880373001,3.622852500062436
"[9, 15]","['tanh', 'swish']",1978,680,Adam,RootMeanSquaredError,0.07707135379314423,0.06865006685256958,3.652533399988897
