[11],['sigmoid'],36,163,Adam,RootMeanSquaredError,0.23628434538841248,0.32279449701309204,0.8049870999529958
[11],['elu'],30,163,Adam,RootMeanSquaredError,0.14123494923114777,0.1870623379945755,0.8045901999576017
[11],['elu'],30,100,Adam,RootMeanSquaredError,0.20274704694747925,0.2730918824672699,0.6117288001114503
[11],['elu'],30,100,Adam,RootMeanSquaredError,0.19381707906723022,0.22803515195846558,0.6129506999859586
[11],['sigmoid'],36,100,Adam,RootMeanSquaredError,0.23534701764583588,0.3163383901119232,0.6137202000245452
[11],['swish'],38,100,Adam,RootMeanSquaredError,0.19574879109859467,0.26478561758995056,0.6221804999513552
[11],['swish'],38,100,Adam,RootMeanSquaredError,0.1427539587020874,0.17919345200061798,0.6367661999538541
[11],['swish'],38,100,Adam,RootMeanSquaredError,0.22898314893245697,0.34521543979644775,0.6443940999452025
"[11, 22]","['sigmoid', 'swish']",36e8,100,Adam,RootMeanSquaredError,0.23050163686275482,0.29531171917915344,0.7319312000181526
"[8, 22]","['sigmoid', 'swish']",06e8,100,Adam,RootMeanSquaredError,0.1359642595052719,0.194599449634552,0.7373274000128731
"[8, 22]","['sigmoid', 'swish']",06e8,700,Adam,RootMeanSquaredError,0.04567643627524376,0.08280680328607559,2.718827400007285
