[13],['tanh'],59,607,Adam,MaxAbsoluteDeviation,1.7675362825393677,1.656213641166687,2.1008178000338376
[13],['tanh'],59,468,Adam,MaxAbsoluteDeviation,2.200756311416626,2.007373571395874,1.6385658999788575
[13],['tanh'],59,329,Adam,MaxAbsoluteDeviation,2.200756311416626,2.754384994506836,1.1933135999715887
[13],['tanh'],59,328,Adam,MaxAbsoluteDeviation,2.8543026447296143,2.7016773223876953,1.177961899957154
[13],['tanh'],59,700,Adam,MaxAbsoluteDeviation,1.589316964149475,1.579626441001892,2.282718100002967
[13],['tanh'],59,700,Adam,MaxAbsoluteDeviation,1.589316964149475,1.534917950630188,2.2737991999601945
[13],['tanh'],59,700,Adam,MaxAbsoluteDeviation,1.6917786598205566,1.6753501892089844,2.2631183000048622
[8],['tanh'],09,700,Adam,MaxAbsoluteDeviation,1.4407931566238403,1.3767248392105103,2.2578477999777533
[23],['tanh'],f9,700,Adam,MaxAbsoluteDeviation,1.4407931566238403,1.7718896865844727,2.166780999978073
[8],['tanh'],09,100,Adam,MaxAbsoluteDeviation,1.4407931566238403,5.459466934204102,0.5361560999881476
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,1.4407931566238403,2.36501407623291,2.234818400000222
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,2.3380987644195557,2.2568860054016113,2.3530675999936648
[8],['elu'],00,700,Adam,MaxAbsoluteDeviation,2.3380987644195557,2.887200117111206,2.2040670999558643
"[8, 8, 21]","['tanh', 'swish', 'swish']",0908d8,700,Adam,MaxAbsoluteDeviation,0.27945807576179504,0.3961601257324219,2.477328199951444
