[16],['tanh'],89,248,Adam,RootMeanSquaredError,0.033384498208761215,0.033541932702064514,1.4913847000570968
[20],['sigmoid'],c6,101,Adam,RootMeanSquaredError,0.24338524043560028,0.23577362298965454,0.7011628999607638
[20],['sigmoid'],c6,100,Adam,RootMeanSquaredError,0.23565497994422913,0.23002347350120544,0.696919700014405
[20],['sigmoid'],c6,700,Adam,RootMeanSquaredError,0.03394559025764465,0.031152235344052315,3.2942921000067145
