"[23, 8, 23, 11, 13]","['elu', 'elu', 'tanh', 'sigmoid', 'sigmoid']",f000f93656,618,Adam,MaxAbsoluteDeviation,0.4257744252681732,0.32123228907585144,2.3898830999969505
"[23, 8, 23, 11, 13]","['elu', 'elu', 'tanh', 'sigmoid', 'sigmoid']",f000f93656,401,Adam,MaxAbsoluteDeviation,0.4062422215938568,0.6701679229736328,1.7270099000015762
"[23, 8, 23, 11, 13]","['elu', 'elu', 'tanh', 'sigmoid', 'sigmoid']",f000f93656,401,Adam,MaxAbsoluteDeviation,0.4062422215938568,1.407465934753418,0.9353138000005856
"[23, 8, 23, 11, 13]","['elu', 'elu', 'tanh', 'sigmoid', 'sigmoid']",f000f93656,700,Adam,MaxAbsoluteDeviation,0.3191368579864502,0.5327129364013672,2.688710500005982
"[23, 8, 23, 11, 13]","['elu', 'elu', 'tanh', 'elu', 'sigmoid']",f000f93056,700,Adam,MaxAbsoluteDeviation,0.34500330686569214,0.845794677734375,2.6403334999922663
"[23, 8, 23, 11, 13, 11]","['elu', 'elu', 'tanh', 'elu', 'sigmoid', 'tanh']",f000f9305639,700,Adam,MaxAbsoluteDeviation,0.4281739890575409,0.5181703567504883,2.7763139000016963
"[23, 8, 23, 11, 13]","['elu', 'elu', 'tanh', 'elu', 'sigmoid']",f000f93056,700,Adam,MaxAbsoluteDeviation,0.2791702151298523,0.5722932815551758,2.6537615999986883
"[23, 8, 23, 11, 8]","['elu', 'elu', 'tanh', 'elu', 'sigmoid']",f000f93006,700,Adam,MaxAbsoluteDeviation,0.38363006711006165,1.0016956329345703,2.6302496999996947
"[23, 8, 23, 11, 23]","['elu', 'elu', 'tanh', 'elu', 'sigmoid']",f000f930f6,700,Adam,MaxAbsoluteDeviation,0.31056109070777893,0.3559446334838867,2.6558764000074007
"[23, 8, 23, 11, 23, 12]","['elu', 'elu', 'tanh', 'elu', 'sigmoid', 'sigmoid']",f000f930f646,700,Adam,MaxAbsoluteDeviation,0.5934040546417236,0.4322628676891327,2.7447203999909107
"[23, 8, 23, 11, 23, 12, 22]","['elu', 'elu', 'tanh', 'elu', 'sigmoid', 'sigmoid', 'tanh']",f000f930f646e9,700,Adam,MaxAbsoluteDeviation,0.4447965919971466,0.7945919036865234,2.8418980999995256
"[8, 8, 23, 11, 23, 12, 22]","['elu', 'elu', 'tanh', 'elu', 'sigmoid', 'sigmoid', 'tanh']",0000f930f646e9,700,Adam,MaxAbsoluteDeviation,1.2093791961669922,1.2079048156738281,2.8493371999938972
"[8, 8, 23, 11, 23, 12]","['elu', 'elu', 'tanh', 'elu', 'sigmoid', 'sigmoid']",0000f930f646,700,Adam,MaxAbsoluteDeviation,0.3516172766685486,0.6181488037109375,2.7043858999968506
"[8, 23, 23, 11, 23]","['elu', 'elu', 'tanh', 'elu', 'sigmoid']",00f0f930f6,700,Adam,MaxAbsoluteDeviation,0.35837826132774353,0.38687852025032043,3.401674599997932
"[8, 23, 23, 11, 23, 22]","['elu', 'elu', 'tanh', 'elu', 'sigmoid', 'tanh']",00f0f930f6,700,Adam,MaxAbsoluteDeviation,0.35837826132774353,1.5097618103027344,3.664995599989197
"[8, 23, 23, 11, 23]","['elu', 'elu', 'tanh', 'elu', 'sigmoid']",00f0f930f6,239,Adam,MaxAbsoluteDeviation,1.0952597856521606,0.4734153747558594,1.467002199991839
"[8, 23, 23, 11, 8]","['elu', 'elu', 'tanh', 'sigmoid', 'sigmoid']",00f0f930f6,239,Adam,MaxAbsoluteDeviation,1.0952597856521606,8.214174270629883,0.9311026999930618
"[8, 23, 23, 8]","['tanh', 'elu', 'tanh', 'elu']",09f0f900,700,Adam,MaxAbsoluteDeviation,0.29669225215911865,0.9004554748535156,3.088771700000507
"[8, 23, 8]","['tanh', 'elu', 'tanh']",09f009,700,Adam,MaxAbsoluteDeviation,0.28160831332206726,0.26491546630859375,2.7964104999991832
"[8, 23, 8]","['tanh', 'elu', 'tanh']",09f009,538,Adam,MaxAbsoluteDeviation,0.23132789134979248,0.2125844955444336,2.189139800000703
"[8, 23]","['tanh', 'elu']",09f0,538,Adam,MaxAbsoluteDeviation,0.09871520847082138,0.07052421569824219,1.9701271000085399
