"[23, 17, 15]","['swish', 'swish', 'swish']",f89878,603,Adam,RootMeanSquaredError,0.2114475816488266,0.34503450989723206,2.110452700057067
"[23, 17]","['swish', 'swish']",f898,420,Adam,RootMeanSquaredError,0.14843550324440002,0.07030656188726425,1.4540982999606058
"[23, 17]","['swish', 'swish']",f898,700,Adam,RootMeanSquaredError,0.0601373016834259,0.07625341415405273,2.3225292999995872
