"[22, 17]","['swish', 'tanh']",e899,102,Adam,MaxAbsoluteDeviation,0.1418924331665039,0.10965174436569214,0.5916427999036387
"[22, 17, 16]","['swish', 'tanh', 'elu']",e89980,102,Adam,MaxAbsoluteDeviation,0.20667771995067596,0.14137153327465057,0.6574347000569105
"[22, 17, 16]","['swish', 'tanh', 'elu']",e89980,100,Adam,MaxAbsoluteDeviation,0.2342749834060669,0.11306989938020706,0.6539789999369532
"[22, 8, 16]","['swish', 'tanh', 'elu']",e80980,100,Adam,MaxAbsoluteDeviation,0.0970754325389862,0.11003086715936661,0.6565367000875995
