"[8, 21]","['elu', 'swish']",00d8,100,Adam,MaxAbsoluteDeviation,0.9911139011383057,1.0335813760757446,0.6599071999662556
[8],['elu'],00,100,Adam,MaxAbsoluteDeviation,0.9581811428070068,1.0881491899490356,0.5272607000079006
[23],['elu'],f0,100,Adam,MaxAbsoluteDeviation,1.0369174480438232,1.0566425323486328,0.5271828999975696
[23],['elu'],f0,100,Adam,MaxAbsoluteDeviation,1.0615421533584595,1.0898723602294922,0.5186605000053532
"[23, 18]","['swish', 'tanh']",f8a9,100,Adam,MaxAbsoluteDeviation,0.8537602424621582,0.8582026958465576,0.6490738000138663
[8],['swish'],08,100,Adam,MaxAbsoluteDeviation,0.9662168622016907,1.0304901599884033,0.5445315000251867
[8],['swish'],08,100,Adam,MaxAbsoluteDeviation,0.9752153158187866,1.032966136932373,0.5378595999791287
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8473547101020813,0.9089885950088501,2.357831500004977
[8],['swish'],08,700,Adam,MaxAbsoluteDeviation,0.8960737586021423,0.9388629794120789,2.3303928999812342
[8],['swish'],08,630,Adam,MaxAbsoluteDeviation,0.946719229221344,1.0482817888259888,2.1153920000069775
[8],['sigmoid'],06,630,Adam,MaxAbsoluteDeviation,0.9628468155860901,1.0498988628387451,2.0669685000320897
"[8, 14]","['sigmoid', 'tanh']",0669,630,Adam,MaxAbsoluteDeviation,0.9725151062011719,1.0537238121032715,2.4190431000315584
"[8, 14]","['sigmoid', 'tanh']",0669,700,Adam,MaxAbsoluteDeviation,0.9526867866516113,1.0559844970703125,2.6935730999684893
"[8, 14]","['sigmoid', 'tanh']",0669,247,Adam,MaxAbsoluteDeviation,0.9910678863525391,1.019902229309082,1.0563615999999456
"[8, 14]","['sigmoid', 'tanh']",0669,200,Adam,MaxAbsoluteDeviation,0.9518013596534729,1.148594617843628,0.9296711000497453
"[8, 14]","['sigmoid', 'tanh']",0669,200,Adam,MaxAbsoluteDeviation,0.9822998642921448,1.0353176593780518,0.9283560999901965
"[8, 14]","['sigmoid', 'tanh']",0669,101,Adam,MaxAbsoluteDeviation,0.9739755392074585,1.1521198749542236,11.528906300023664
"[8, 14]","['tanh', 'tanh']",0969,101,Adam,MaxAbsoluteDeviation,0.9587534070014954,1.0030503273010254,0.7199711999855936
"[8, 14]","['tanh', 'tanh']",0969,700,Adam,MaxAbsoluteDeviation,0.08586063235998154,0.10090717673301697,3.2793966999743134
