[14],['tanh'],69,232,Adam,RootMeanSquaredError,0.20563897490501404,0.21172747015953064,1.8390683999750763
[23],['sigmoid'],f6,232,Adam,RootMeanSquaredError,0.40212327241897583,0.3266701102256775,1.884752199985087
[8],['sigmoid'],06,232,Adam,RootMeanSquaredError,0.39103853702545166,0.318511039018631,1.8663836999912746
[23],['sigmoid'],f6,232,Adam,RootMeanSquaredError,0.3960184156894684,0.32645660638809204,1.855596899986267
[23],['sigmoid'],f6,100,Adam,RootMeanSquaredError,0.6062092781066895,0.5814424753189087,0.9348212999757379
[8],['sigmoid'],06,232,Adam,RootMeanSquaredError,0.4422866404056549,0.40303149819374084,1.7614594000042416
"[8, 13]","['sigmoid', 'sigmoid']",0656,218,Adam,RootMeanSquaredError,0.05325596407055855,0.04606977477669716,1.8397261999780312
