"[17, 23, 8, 18]","['swish', 'swish', 'tanh', 'sigmoid']",98f809a6,700,Adam,MaxAbsoluteDeviation,0.22839012742042542,0.12015581130981445,2.5536845999304205
"[8, 23, 8, 18]","['swish', 'swish', 'tanh', 'sigmoid']",08f809a6,700,Adam,MaxAbsoluteDeviation,0.3438171446323395,0.3247413635253906,2.5583380999742076
"[23, 23, 8, 18]","['swish', 'swish', 'tanh', 'sigmoid']",f8f809a6,700,Adam,MaxAbsoluteDeviation,0.4922291040420532,0.22359848022460938,2.592819899902679
"[23, 23, 8, 18, 17]","['swish', 'swish', 'tanh', 'sigmoid', 'elu']",f8f809a690,700,Adam,MaxAbsoluteDeviation,0.24189692735671997,0.7135810852050781,2.6500416999915615
"[23, 23, 8, 23, 17]","['swish', 'swish', 'tanh', 'sigmoid', 'elu']",f8f809f690,700,Adam,MaxAbsoluteDeviation,0.36980393528938293,0.46181678771972656,2.7165921999840066
"[23, 23, 8, 23]","['swish', 'tanh', 'tanh', 'sigmoid']",f8f909f6,700,Adam,MaxAbsoluteDeviation,0.36980393528938293,0.3672819137573242,2.5837573000462726
"[23, 23, 8, 23]","['swish', 'swish', 'tanh', 'sigmoid']",f8f809f6,700,Adam,MaxAbsoluteDeviation,0.20275717973709106,0.2801704406738281,2.5694924999261275
"[8, 23, 8, 23]","['elu', 'swish', 'tanh', 'sigmoid']",00f809f6,700,Adam,MaxAbsoluteDeviation,0.5844007134437561,0.6501140594482422,2.5180006999289617
"[8, 23, 8, 23]","['elu', 'swish', 'tanh', 'sigmoid']",00f809f6,700,Adam,MaxAbsoluteDeviation,0.14822883903980255,0.1900949478149414,2.5005745000671595
"[8, 23, 8, 23]","['elu', 'swish', 'tanh', 'sigmoid']",00f809f6,700,Adam,MaxAbsoluteDeviation,0.28621992468833923,0.18218612670898438,2.49489370000083
"[8, 23, 8, 23]","['elu', 'swish', 'tanh', 'sigmoid']",00f809f6,700,Adam,MaxAbsoluteDeviation,0.16428859531879425,0.09332847595214844,2.4960764000425115
"[8, 23, 8, 23, 14]","['elu', 'swish', 'tanh', 'sigmoid', 'sigmoid']",00f809f666,700,Adam,MaxAbsoluteDeviation,0.186115562915802,0.6435012817382812,2.6483766000019386
"[8, 23, 8, 23, 14]","['elu', 'swish', 'tanh', 'sigmoid', 'sigmoid']",00f809f666,700,Adam,MaxAbsoluteDeviation,0.186115562915802,0.30517053604125977,2.600052500027232
"[8, 23, 8, 23, 14, 15]","['elu', 'swish', 'tanh', 'sigmoid', 'sigmoid', 'elu']",00f809f66670,700,Adam,MaxAbsoluteDeviation,0.186115562915802,0.5188922882080078,2.727720700087957
"[8, 23, 8, 23]","['elu', 'swish', 'tanh', 'sigmoid']",00f809f6,700,Adam,MaxAbsoluteDeviation,0.4865894317626953,0.24718856811523438,2.4992553999181837
"[8, 23, 8]","['elu', 'swish', 'tanh']",00f809,700,Adam,MaxAbsoluteDeviation,0.2823827862739563,0.2503032684326172,2.3473544000880793
"[8, 23, 8]","['elu', 'swish', 'tanh']",00f809,700,Adam,MaxAbsoluteDeviation,0.15180335938930511,0.2337474822998047,2.333377900067717
"[8, 23, 8, 9]","['elu', 'swish', 'tanh', 'swish']",00f80918,700,Adam,MaxAbsoluteDeviation,0.30251190066337585,0.22853565216064453,2.528638400021009
"[8, 23, 8, 9, 23]","['elu', 'swish', 'tanh', 'swish', 'tanh']",00f80918f9,700,Adam,MaxAbsoluteDeviation,0.30251190066337585,1.2273902893066406,2.587055500014685
"[8, 23, 13]","['elu', 'swish', 'sigmoid']",00f856,700,Adam,MaxAbsoluteDeviation,0.23404891788959503,0.38193321228027344,2.353282899945043
"[8, 8, 13]","['elu', 'swish', 'sigmoid']",000856,700,Adam,MaxAbsoluteDeviation,0.10367866605520248,0.17067575454711914,2.3109035999514163
"[8, 8, 13]","['elu', 'swish', 'sigmoid']",000856,700,Adam,MaxAbsoluteDeviation,0.0983416736125946,0.17727279663085938,5.646162000019103
