"[13, 12]","['tanh', 'elu']",5940,521,Adam,RootMeanSquaredError,0.10454320907592773,0.1681770384311676,1.7772402000264265
[13],['tanh'],59,521,Adam,RootMeanSquaredError,0.42151856422424316,0.5686013102531433,1.6663630999973975
[8],['tanh'],09,521,Adam,RootMeanSquaredError,0.31957799196243286,0.4504014849662781,1.5675286000187043
[8],['tanh'],09,111,Adam,RootMeanSquaredError,0.5650755167007446,0.742628812789917,0.5232140000152867
[23],['tanh'],f9,700,Adam,RootMeanSquaredError,0.35945814847946167,0.5119066834449768,2.0784415999951307
[23],['tanh'],f9,700,Adam,RootMeanSquaredError,0.29865533113479614,0.42209261655807495,2.0736658000096213
[8],['tanh'],09,700,Adam,RootMeanSquaredError,0.3439919352531433,0.4642234742641449,2.0640554999990854
[8],['tanh'],09,700,Adam,RootMeanSquaredError,0.2767317295074463,0.3853563070297241,2.0762044000148308
[8],['tanh'],09,700,Adam,RootMeanSquaredError,0.27330318093299866,0.41575777530670166,2.060930699983146
[23],['tanh'],f9,700,Adam,RootMeanSquaredError,0.3366256654262543,0.4717675745487213,2.0721217000100296
[8],['tanh'],09,700,Adam,RootMeanSquaredError,0.2793479561805725,0.4047127664089203,2.0664677000022493
"[8, 22]","['tanh', 'tanh']",09e9,700,Adam,RootMeanSquaredError,0.028077587485313416,0.02883436530828476,2.274828900001012
