shape,activations,loss_function,normalize,optimizer,validation_split,epochs,eps,experiments,use_rand_net,function,loss,huber_loss,log_cosh,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,mean_squared_logarithmic_error,relative,rae,my_mae,root_mean_squared_error,inlier_ratio,max_deviation,mean_deviation,val_loss,val_huber_loss,val_log_cosh,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_mean_squared_logarithmic_error,val_relative,val_rae,val_my_mae,val_root_mean_squared_error,val_inlier_ratio,val_max_deviation,val_mean_deviation,train_time,predict_loss,predict_huber_loss,predict_log_cosh,predict_mean_absolute_error,predict_mean_absolute_percentage_error,predict_mean_squared_error,predict_mean_squared_logarithmic_error,predict_relative,predict_rae,predict_my_mae,predict_root_mean_squared_error,predict_inlier_ratio,predict_max_deviation,predict_mean_deviation,predict_all_time
"[1, 32, 16, 8, 4, 1]","['elu', 'elu', 'elu', 'elu', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LF_ODE_2_solution,0.39470356702804565,0.39470356702804565,0.35161447525024414,0.8884828090667725,88.84828186035156,0.7894071340560913,0.34507060050964355,0.8884828090667725,14.21572494506836,0.8920117616653442,0.888485848903656,1.0,0.8920117616653442,0.8884828090667725,0.38924217224121094,0.38924217224121094,0.34724077582359314,0.8823155760765076,88.23155975341797,0.7784843444824219,0.3385982811450958,0.8823155760765076,3.5292623043060303,0.8850323557853699,0.8823176026344299,1.0,0.8850323557853699,0.8823155760765076,9.428295300022,0.3901267945766449,0.3901267945766449,0.347949355840683,0.8833158016204834,88.33160400390625,0.7802535891532898,0.33964455127716064,0.8833158016204834,28.26610565185547,0.887490451335907,0.883319616317749,1.0,0.887490451335907,0.8833158016204834,1.8908353000006173
"[1, 32, 16, 8, 4, 1]","['relu', 'relu', 'relu', 'relu', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LF_ODE_2_solution,0.38943132758140564,0.38943132758140564,0.3473930060863495,0.8825319409370422,88.25318908691406,0.7788626551628113,0.33881914615631104,0.8825319409370422,14.120511054992676,0.8825895190238953,0.8825319409370422,1.0,0.8825895190238953,0.8825319409370422,0.38826388120651245,0.38826388120651245,0.3464565873146057,0.8812081217765808,88.12081146240234,0.7765277624130249,0.33744221925735474,0.8812081217765808,3.5248324871063232,0.8812568187713623,0.8812081217765808,1.0,0.8812568187713623,0.8812081217765808,9.98379090000526,0.3882788419723511,0.3882788419723511,0.34646856784820557,0.8812254667282104,88.12232208251953,0.7765576839447021,0.33745983242988586,0.8812254667282104,28.199214935302734,0.8812912106513977,0.8812251091003418,1.0,0.8812912106513977,0.8812254667282104,1.8201032999786548
"[1, 32, 16, 8, 4, 1]","['gelu', 'gelu', 'gelu', 'gelu', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LF_ODE_2_solution,0.47751712799072266,0.47751712799072266,0.41657090187072754,0.9772585034370422,97.72584533691406,0.9550342559814453,0.4497854709625244,0.9772585034370422,15.636136054992676,0.9775799512863159,0.977258563041687,1.0,0.9775799512863159,0.9772585034370422,0.4755242168903351,0.4755242168903351,0.41503703594207764,0.9752171039581299,97.52171325683594,0.9510484337806702,0.44711482524871826,0.9752171039581299,3.9008684158325195,0.9754757285118103,0.9752171039581299,1.0,0.9754757285118103,0.9752171039581299,9.577894799993373,0.47561517357826233,0.47561517357826233,0.41510698199272156,0.9753103256225586,97.53101348876953,0.9512303471565247,0.44723692536354065,0.9753103256225586,31.209930419921875,0.9756959080696106,0.9753103852272034,1.0,0.9756959080696106,0.9753103256225586,1.8928132000146434
"[1, 32, 16, 8, 4, 1]","['selu', 'selu', 'selu', 'selu', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LF_ODE_2_solution,0.2686915397644043,0.2686915397644043,0.24758251011371613,0.7329911589622498,73.29911804199219,0.5373830795288086,0.2084786593914032,0.7329911589622498,11.727858543395996,0.7490317225456238,0.7330641746520996,1.0,0.7490317225456238,0.7329911589622498,0.25423577427864075,0.25423577427864075,0.23521651327610016,0.7130246162414551,71.30245971679688,0.5084715485572815,0.19440957903862,0.7130246162414551,2.8520984649658203,0.7249031066894531,0.713071882724762,1.0,0.7249031066894531,0.7130246162414551,9.780949399981182,0.2574305236339569,0.2574305236339569,0.23795224726200104,0.7174531817436218,71.74533081054688,0.5148610472679138,0.19750936329364777,0.7174531817436218,22.9585018157959,0.7360184788703918,0.7175381779670715,1.0,0.7360184788703918,0.7174531817436218,1.8812038000032771
"[1, 32, 16, 8, 4, 1]","['exponential', 'exponential', 'exponential', 'exponential', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LF_ODE_2_solution,0.0016533720772713423,0.0016533720772713423,0.0016520842909812927,0.053922347724437714,5.392234802246094,0.0033067441545426846,0.0008550039492547512,0.053922347724437714,0.8627575635910034,0.08254849910736084,0.05750429630279541,0.625,0.08254849910736084,0.060853201895952225,0.00018147690570913255,0.00018147690570913255,0.0001814812421798706,0.016096875071525574,1.6096875667572021,0.0003629538114182651,8.982178405858576e-05,0.016096875071525574,0.0643875002861023,0.03132915496826172,0.01905134692788124,0.0,0.0,0.05000000074505806,8.68165250000311,0.00024239036429207772,0.00024239036429207772,0.00024235420278273523,0.01905869133770466,1.905869960784912,0.00048478072858415544,0.00012109680392313749,0.01905869133770466,0.6098781228065491,0.0379401296377182,0.022017735987901688,0.0,0.0,0.049999695271253586,1.8623507999873254
"[1, 32, 16, 8, 4, 1]","['linear', 'linear', 'linear', 'linear', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LF_ODE_2_solution,0.39886218309402466,0.39886218309402466,0.3549306392669678,0.8931265473365784,89.31265258789062,0.7977243661880493,0.35006386041641235,0.8931265473365784,14.290024757385254,0.9036787748336792,0.8931541442871094,1.0,0.9036787748336792,0.8931265473365784,0.387307345867157,0.387307345867157,0.3456838130950928,0.8801025152206421,88.01025390625,0.774614691734314,0.3363388180732727,0.8801025152206421,3.5204100608825684,0.888454258441925,0.8801219463348389,1.0,0.888454258441925,0.8801025152206421,9.99618049999117,0.389982670545578,0.389982670545578,0.3478257358074188,0.883122444152832,88.31217956542969,0.779965341091156,0.33951032161712646,0.883122444152832,28.259918212890625,0.8956429958343506,0.8831564784049988,1.0,0.8956429958343506,0.883122444152832,1.869701299990993
"[1, 32, 16, 8, 4, 1]","['sigmoid', 'sigmoid', 'sigmoid', 'sigmoid', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LF_ODE_2_solution,0.3553745150566101,0.3553745150566101,0.3198550045490265,0.8430593013763428,84.3059310913086,0.7107490301132202,0.29961174726486206,0.8430593013763428,13.488948822021484,0.8430604338645935,0.8430593013763428,1.0,0.8430604338645935,0.8430593013763428,0.3528165817260742,0.3528165817260742,0.3177679479122162,0.8400197625160217,84.0019760131836,0.7056331634521484,0.29674625396728516,0.8400197625160217,3.360079050064087,0.8400205969810486,0.8400197625160217,1.0,0.8400205969810486,0.8400197625160217,8.81534480000846,0.35281476378440857,0.35281476378440857,0.3177676796913147,0.840025007724762,84.002685546875,0.7056295275688171,0.29674792289733887,0.840025007724762,26.880800247192383,0.8400253057479858,0.840017557144165,1.0,0.8400253057479858,0.840025007724762,1.8372047999873757
"[1, 32, 16, 8, 4, 1]","['hard_sigmoid', 'hard_sigmoid', 'hard_sigmoid', 'hard_sigmoid', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LF_ODE_2_solution,0.43468642234802246,0.43468642234802246,0.3832913637161255,0.9324016571044922,93.24017333984375,0.8693728446960449,0.39405199885368347,0.9324016571044922,14.918426513671875,0.9324019551277161,0.9324016571044922,1.0,0.9324019551277161,0.9324016571044922,0.4318331480026245,0.4318331480026245,0.3810507655143738,0.9293364882469177,92.93364715576172,0.863666296005249,0.3904607892036438,0.9293364882469177,3.717345952987671,0.929336667060852,0.9293364882469177,1.0,0.929336667060852,0.9293364882469177,10.418637599999784,0.4318348169326782,0.4318348169326782,0.38105371594429016,0.9293329119682312,92.93360137939453,0.8636696338653564,0.3904581665992737,0.9293329119682312,29.7386531829834,0.9293414950370789,0.929338276386261,1.0,0.9293414950370789,0.9293329119682312,1.8791984000126831
"[1, 32, 16, 8, 4, 1]","['swish', 'swish', 'swish', 'swish', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LF_ODE_2_solution,0.4697082042694092,0.4697082042694092,0.4105522036552429,0.9692348837852478,96.92349243164062,0.9394164085388184,0.4393647015094757,0.9692348837852478,15.507758140563965,0.9695156216621399,0.9692349433898926,1.0,0.9695156216621399,0.9692348837852478,0.4678035080432892,0.4678035080432892,0.4090808928012848,0.9672678112983704,96.72677612304688,0.9356070160865784,0.4368407130241394,0.9672678112983704,3.8690712451934814,0.967492938041687,0.9672678112983704,1.0,0.967492938041687,0.9672678112983704,9.327340299991192,0.46788203716278076,0.46788203716278076,0.4091416001319885,0.9673488140106201,96.73493194580078,0.9357640743255615,0.43694496154785156,0.9673488140106201,30.955162048339844,0.96768718957901,0.9673489928245544,1.0,0.96768718957901,0.9673488140106201,1.8864229999890085
"[1, 32, 16, 8, 4, 1]","['tanh', 'tanh', 'tanh', 'tanh', 'linear']",Huber,False,Adam,0.2,50,0.001,True,False,LF_ODE_2_solution,0.36118781566619873,0.36118781566619873,0.3245878517627716,0.8499251008033752,84.99250793457031,0.7223756313323975,0.3061666488647461,0.8499251008033752,13.598801612854004,0.8525793552398682,0.8499268293380737,1.0,0.8525793552398682,0.8499251008033752,0.35704392194747925,0.35704392194747925,0.3212153911590576,0.8450360298156738,84.50360107421875,0.7140878438949585,0.3014889359474182,0.8450360298156738,3.3801441192626953,0.8470595479011536,0.8450371623039246,1.0,0.8470595479011536,0.8450360298156738,10.20153439999558,0.3576798439025879,0.3576798439025879,0.32173311710357666,0.8457875847816467,84.57872772216797,0.7153596878051758,0.3022056818008423,0.8457875847816467,27.065202713012695,0.8489289879798889,0.84578937292099,1.0,0.8489289879798889,0.8457875847816467,1.7659686999977566
